d38,replicate1,replicate2,replicate3,replicate4
1.00E-04,4560,12560,62320,54480
1.00E-05,388640,586200,774800,993840
1.00E-06,918640,917920,1011080,1049200
1.00E-07,1368960,1063760,1344880,1281600
1.00E-08,1266400,1415040,1254920,1012600
1.00E-09,1805320,1719600,1652680,1600240
