d32,replicate1,replicate2,replicate3,replicate4
1.00E-04,4480,27360,1023520,1579600
1.00E-05,1263640,1495800,2170720,1619160
1.00E-06,1501240,1494160,2045440,1646760
1.00E-07,1805960,1760760,1663120,1791760
1.00E-08,972840,1261320,1078400,1203680
1.00E-09,1552760,1753760,1681680,2018920
