d27,replicate1,replicate2,replicate3,replicate4
1.00E-04,2680,7080,65880,393080
1.00E-05,31240,345640,897440,1046840
1.00E-06,54640,505760,956200,903560
1.00E-07,719360,1146480,931480,1102120
1.00E-08,695040,1062560,1019760,928440
1.00E-09,1037480,1272040,1076160,1489560
