	dmso-het	drug-het
0	15.133333333333333	17.216666666666665
1	31.233333333333334	3.9833333333333334
2	103.21666666666667	12.05
3	106.16666666666667	40.75
4	5.266666666666667	27.183333333333334
5	73.66666666666667	9.3
6	21.483333333333334	7.116666666666666
7	55.583333333333336	25.266666666666666
8	14.883333333333333	34.93333333333333
9	9.833333333333334	197.1
10	31.25	87.18333333333334
11	87.75	22.95
12	48.45	17.316666666666666
13	43.45	37.7
14	37.38333333333333	
15	74.16666666666667	
16	56.6	
17	39.8	
