	dmso	drug
0	3.183333333333333	33.7
1	19.883333333333333	12.183333333333334
2	7.8	9.783333333333333
3	27.416666666666668	17.666666666666668
4	14.916666666666666	11.933333333333334
5	21.766666666666666	41.95
6	29.016666666666666	17.183333333333334
7	55.96666666666667	49.166666666666664
8	17.466666666666665	11.766666666666667
9	31.983333333333334	19.75
10	18.233333333333334	13.766666666666667
11	41.65	8.466666666666667
12	31.616666666666667	15.4
13	20.733333333333334	33.733333333333334
14	18.55	5.25
15	193.31666666666666	15.316666666666666
16	15.25	21.033333333333335
17	109.55	14.766666666666667
18	38.766666666666666	49.46666666666667
19	37.5	31.25
20	28.566666666666666	50.166666666666664
21	8.666666666666666	26.5
22	25.5	30.666666666666668
23	38.0	22.916666666666668
24		29.366666666666667
