	dmso-wt	dmso-mut
0	1015.672131147541	640.311475409836
1	495.672131147541	478.4918032786885
2	421.3606557377049	516.4754098360655
3	590.7377049180328	525.3770491803278
4	647.311475409836	582.3934426229508
5	351.0327868852459	545.0491803278688
6	495.27868852459017	525.672131147541
7	551.5245901639345	679.1803278688525
8	1094.5245901639344	567.344262295082
9	622.9180327868852	273.24590163934425
10	906.4918032786885	853.1147540983607
11	737.0491803278688	531.1475409836065
12	562.0819672131148	770.9016393442623
13	710.2459016393443	576.0
14		722.016393442623
15		863.8524590163935
16		485.1967213114754
17		410.8360655737705
18		404.75409836065575
