file,ddg,total_motifs,significant_motifs,real_motif_ratio,hbond_motif_count,hbond_motif_energy_sum,closest_autodock_recovery_rmsd,closest_autodock_recovery_ddg,strain_energy,total
7l1u_receptor_only_PV-006644207828_69_4.pdb,-12.49818,10.0,2.0,0.3,2,-1.1499519999999999,4.2302816901980425,-8.1,4.869946177043611,1.6520958672416546
7l1u_receptor_only_PV-006668305663_151_11.pdb,-13.899196,7.0,2.0,0.428571,2,-0.899096,1.6887962180352627,-6.8,5.610868761781921,-2.870056020182817
7l1u_receptor_only_PV-006690412474_37_3.pdb,-12.818406,6.0,2.0,0.333333,2,-1.615372,2.726777210696454,-6.9,5.138586749638393,-3.1350810396651525
7l1u_receptor_only_PV-006713561701_55_1.pdb,-12.556568,7.0,2.0,0.285714,2,-1.090366,1.3201954746380125,-7.5,8.2459965271149,-0.29502799824708825
7l1u_receptor_only_PV-005957610770_88_2.pdb,-11.622217,7.0,2.0,0.285714,2,-1.055019,1.2613397950769332,-7.9,6.017887153531494,-2.0122950513915727
