file,ddg,total_motifs,significant_motifs,real_motif_ratio,hbond_motif_count,hbond_motif_energy_sum,closest_autodock_recovery_rmsd,closest_autodock_recovery_ddg,strain_energy,total
7l1u_receptor_only_PV-006682937039_149_0.pdb,-15.169991,8.0,3.0,0.25,3,-2.707677,1.355117029323774,-7.2,8.793107844858055,-0.6794431258181706
7l1u_receptor_only_PV-006633979952_126_2.pdb,-13.82255,8.0,3.0,0.25,2,-1.184307,2.6176793822302744,-8.1,4.3675662802747155,-2.871611337495009
7l1u_receptor_only_PV-006647536051_112_1.pdb,-13.644238,10.0,2.0,0.3,3,-1.333397,0.8507536338925391,-8.2,7.896589675797028,0.8697083096895672
7l1u_receptor_only_PV-006677944895_132_3.pdb,-13.520684,9.0,1.0,0.333333,2,-1.023828,2.3068471993838955,-7.4,4.165252108769996,-3.139079691846108
7l1u_receptor_only_PV-001590932007_77_1.pdb,-13.12374,7.0,2.0,0.285714,2,-1.282617,2.5622489054362614,-7.2,8.254882684456081,0.49648858989234257
7l1u_receptor_only_PV-006697174573_28_1.pdb,-13.74742,6.0,1.0,0.333333,2,-1.136361,1.164963610566024,-7.2,2.9531279244430144,-8.632356464990963
7l1u_receptor_only_PV-000355757129_234_18.pdb,-13.180524,9.0,2.0,0.333333,2,-1.380482,1.3143482508245126,-9.6,7.281543847571307,-2.231780901604181
7l1u_receptor_only_PV-006633841066_63_33.pdb,-13.851915,8.0,1.0,0.375,2,-1.603953,1.789450312584167,-7.5,7.671923119779104,-2.119494567636729
7l1u_receptor_only_PV-006702534866_47_1.pdb,-13.549409,6.0,1.0,0.333333,2,-1.433601,1.3555849928372519,-7.6,3.923801572104496,-7.970290435058251
7l1u_receptor_only_PV-006709180133_234_2.pdb,-14.304056,6.0,1.0,0.5,2,-0.734748,1.7304562387331521,-9.1,6.930436656529018,-5.977911104737828
7l1u_receptor_only_PV-006694277124_105_1.pdb,-13.152213,8.0,3.0,0.25,2,-1.08297,1.2222303201193365,-8.6,3.4341700139773117,-4.92878266590335
7l1u_receptor_only_PV-006702229971_177_2.pdb,-14.806632,8.0,2.0,0.25,3,-1.590296,1.5546150335756896,-7.4,10.157640411987586,1.1653274455632752
7l1u_receptor_only_PV-006653503749_44_1.pdb,-14.302364,7.0,1.0,0.285714,2,-0.896417,1.4523089215329694,-7.3,5.199670816835085,-5.561087261631947
