	dmso-het	dmso-mut
0	38771.58660951519	44125.70756156635
1	31499.28847573987	25267.68541432762
2	121127.898603656	26514.298672644938
3	68561.8354764474	20928.76067290235
4	27747.03688040753	19313.460001095038
5	30099.338770933406	41429.12924225178
6	43401.26857322487	30052.31727226221
7	55783.35747240479	15415.464910194645
8	34179.67374029799	38274.273210565
9	43831.52956625799	120929.63740606554
10	22479.56097349113	68394.28701646185
11	68597.72353517571	63946.36097897534
12	41672.628176307575	21320.975174905798
13	19622.146263001876	21927.395780255818
14	39470.32509049699	35447.959262560056
15	17608.556557348016	21183.935634037665
16	13398.333779231836	17828.062885121937
17	22379.590612282977	27552.36571193753
18	18011.679670553567	20265.223561175346
19	30751.83533071464	
20	43313.109048959675	
21	45823.20255558591	
22	29438.770667294677	
23	98142.83149595595	
24	77394.52482309859	
25	23378.93222413469	
26	109580.8315645676	
27	30505.76688206065	
28	21111.067689428022	
29	22321.746088141816	
30	41719.767665910316	
31	33206.02005688622	
32	43474.91843078941	
33	27740.333327160133	
34	65742.47295766717	
35	13046.213462423357	
36	24901.799288810664	
37	40285.238202928456	
38	18480.6732610455	
39	26501.533069048484	
40	27229.785909111964	
41	46889.07327270481	
42	107135.504364922	
43	14846.765756467876	
44	117265.87004534391	
45	38136.11856090453	
46	47190.75639478583	
