	dmso-het	dmso-mut
0	216.53044011118848	227.21670744537437
1	187.51710438466313	216.0018514106494
2	178.47516891395296	257.55627911089005
3	198.74402541190594	261.98928615145104
4	242.49189286815783	293.0336246860688
5	239.15869127392145	240.39217213991964
6	190.95698612221403	341.95986687383294
7	283.17327287125863	291.2047077290929
8	251.39599439165067	350.05382907427304
9	281.69939721360106	277.74961127119224
10	279.9601548423486	349.15480310772466
11	211.43171980005965	302.0612666640562
12	287.2390182593665	323.1218110377726
13	290.7534449441518	305.0359299583266
14	210.14428795808126	283.06226486518705
15	247.05209344953084	347.38945714655534
16	307.22446509449304	320.4277476619593
17	346.6230099274711	287.91797456800657
18	329.15023034464895	271.9081476945949
19	296.4539022127063	
20	269.53889244763076	
21	325.0494154053054	
22	304.1284357733981	
23	268.5244095240772	
24	268.90419214548183	
25	308.97326789005996	
26	293.8392113232733	
27	274.4060103795423	
28	297.59875179266186	
29	282.9910809298691	
30	247.89501120561002	
31	320.32520489177347	
32	259.4030088609442	
33	245.70341058884478	
34	258.58213435796495	
35	261.74253833189135	
36	265.3618852719708	
37	263.2650802638703	
38	184.82927324969722	
39	195.47730396948393	
40	197.17664864807918	
41	249.65472377878626	
42	249.23008417029735	
43	235.36749686505505	
44	227.9109936023785	
45	277.42339699201455	
46	227.89958840805934	
