Time Stamp:,Linear Time:,F1,F2,F3,F4,F5,F6,F7,F8
2025-09-08 15:00:00,15,29.78,27.78,2.33,0.39,38.83,28.5,27.33,25.67
2025-09-08 16:00:00,16,43.39,69.5,61.28,25.11,52.61,55.61,54.22,68.17
2025-09-08 17:00:00,17,46.06,44.22,62.17,63.39,64.67,68,71.39,57.22
2025-09-08 18:00:00,18,40.94,62.56,55.89,43.94,53.28,42.94,45.72,38.11
2025-09-08 19:00:00,19,55.72,52.44,24.56,17.72,40.67,45.28,51.39,54.61
2025-09-08 20:00:00,20,4.61,0.56,1.17,5.28,0.61,5.39,13.28,15.5
2025-09-08 21:00:00,21,22.11,1.89,1.94,1.17,12.39,28.28,0,0.78
2025-09-08 22:00:00,22,15.56,0.5,1.39,2.5,20.28,0.11,0.17,0.22
2025-09-08 23:00:00,23,46.22,54.11,2.39,3.5,45.78,58.28,1.61,0.22
2025-09-09 00:00:00,24,36.28,66.39,10,21.72,19.94,42.22,55.89,26.83
2025-09-09 01:00:00,25,12.83,53.11,19.06,72.11,21.56,9.56,5.39,59.94
2025-09-09 02:00:00,26,26.5,2.06,1.5,9.83,27.83,42.39,3.61,40.89
2025-09-09 03:00:00,27,34.83,2.89,12.17,6.28,2.11,30.78,36.94,50.78
2025-09-09 04:00:00,28,40.22,2.06,8.5,62.28,25.28,0.89,1.39,1.28
2025-09-09 05:00:00,29,50,1.33,22.72,18.78,49.78,49.06,22.22,0.72
2025-09-09 06:00:00,30,45.67,49.89,39.67,59.44,55.06,69.11,67.94,50.89
2025-09-09 07:00:00,31,3.78,60.89,15.72,45.11,26.83,27,44.61,75
2025-09-09 08:00:00,32,34.72,4.89,27.11,17.06,25.83,28.89,16.44,10.72
2025-09-09 09:00:00,33,62.06,55.11,60.61,65.61,58.17,69.61,45.22,64.72
2025-09-09 10:00:00,34,68.78,62.17,68.56,54.44,63.17,40.44,72.89,60.61
2025-09-09 11:00:00,35,64.22,74.28,50.89,29.78,34.44,62.22,36.83,67.61
2025-09-09 12:00:00,36,28.17,56.94,69.94,77.61,74.22,77.11,54.11,54.17
2025-09-09 13:00:00,37,70.94,72.33,58.94,76.06,80.06,38.11,70.17,41.56
2025-09-09 14:00:00,38,59.78,54.39,65,33.72,17.39,47.44,81.17,71.78
