,Start Time:,2025-09-08 15:00:00, End Time:,2025-09-11 08:00:00, Normalization:,None,,,
Time Stamps:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
2025-09-08 15:00:00,15,75.22,129.7,46.85,42.97,62.48,175.14,91.08,53.33
2025-09-08 16:00:00,16,27.54,25.8,42.24,31.39,33.76,24.28,26.45,25.27
2025-09-08 17:00:00,17,48.43,11.86,40.48,288.89,18.27,36.28,18.11,40.64
2025-09-08 18:00:00,18,56.3,35.5,37,25.08,54.34,34.53,150,60.97
2025-09-08 19:00:00,19,52.16,54.22,31.78,82.35,33.52,107,33.64,33.58
2025-09-08 20:00:00,20,165.78,313.09,178.11,243.85,153.47,248.33,490.86,593
2025-09-08 21:00:00,21,131.36,158.76,316.73,281.33,1191.33,894.5,287.5,59.21
2025-09-08 22:00:00,22,29.96,234.62,3596,266.31,153.16,203.14,123.22,247.57
2025-09-08 23:00:00,23,196,40.62,712,175.44,90.15,40.59,25.7,264
2025-09-09 00:00:00,24,57.88,96.14,892.5,19.23,28.76,31,27.83,18.83
2025-09-09 01:00:00,25,26,25.45,214,23.86,31.84,442,18.61,138.43
2025-09-09 02:00:00,26,60.35,97.48,78.47,87.72,105.15,87.08,48.92,31.36
2025-09-09 03:00:00,27,68.53,52.88,17.67,188.11,97.92,41.5,166.2,53.96
2025-09-09 04:00:00,28,100.5,139.17,71.23,32.18,237.86,150,47.83,198.24
2025-09-09 05:00:00,29,89.39,151,128.2,318.55,37.11,291.5,109.04,70.91
2025-09-09 06:00:00,30,28.52,29.8,155.33,123.44,67.09,269.08,20.23,197.18
2025-09-09 07:00:00,31,35.11,19.86,26.63,17.42,77.93,27.65,157.52,70.13
2025-09-09 08:00:00,32,46.15,132.09,78.43,50,33.06,42.75,70,31.76
2025-09-09 09:00:00,33,24.56,24.13,21.59,68.62,42.56,29.65,36.77,22.78
2025-09-09 10:00:00,34,87.57,25.79,12.08,29.26,18.94,23.05,35.7,85.46
2025-09-09 11:00:00,35,22.5,20.5,42.71,42.73,210.86,137.88,16.86,30.25
2025-09-09 12:00:00,36,51.64,24.56,6.9,15.21,7.21,18.18,14.7,18.75
2025-09-09 13:00:00,37,12.53,25.69,26.84,21.05,53.8,39.5,23.16,21.66
2025-09-09 14:00:00,38,26.29,18.68,8.4,32.25,36.82,44.2,64.29,26.9
2025-09-09 15:00:00,39,17.05,339.6,21.42,16,33.89,14,11.62,18.59
2025-09-09 16:00:00,40,19.14,17.5,23.88,78.27,84.96,39.16,15.3,14.42
2025-09-09 17:00:00,41,94.89,74.84,30.49,16.88,18.42,97.91,154,233.14
2025-09-09 18:00:00,42,23.44,30.35,34.67,100.7,43.43,14.57,12.54,20.33
2025-09-09 19:00:00,43,33.07,40,118.32,73.92,46.47,49.19,59.31,43.69
2025-09-09 20:00:00,44,64.67,72.88,58.41,78.5,197.07,153.3,213.13,144.1
2025-09-09 21:00:00,45,108.81,241.08,146,287.82,41,381.56,589.33,699.6
2025-09-09 22:00:00,46,47.44,38.41,78.31,30.54,45.71,155.9,389.78,196
2025-09-09 23:00:00,47,38.36,77.37,126.48,266.62,43.67,59.11,29.49,247.86
2025-09-10 00:00:00,48,26.46,75.03,506.86,693.6,35.79,24.18,122.43,17.77
2025-09-10 01:00:00,49,48.89,31.12,139.71,22.73,33.28,226.27,47.08,29.56
2025-09-10 02:00:00,50,63.38,35.4,94.07,16.29,48.48,44.22,26.05,51.35
2025-09-10 03:00:00,51,25.76,59.86,94.71,46.53,506.57,26.75,11.32,65.16
