,Start Time:,2025-09-08 15:00:00, End Time:,2025-09-11 08:00:00, Normalization:,State Time,,,
Time Stamps:,Linear Time:,F1,F2,F3,F4,F5,F6,F7,F8
2025-09-08 15:00:00,15,24.4,23.95,14.5,3,28.22,51.89,19.95,28.27
2025-09-08 16:00:00,16,27.35,38.75,42.94,30.07,28.85,33.57,26.14,36.63
2025-09-08 17:00:00,17,32.6,40.76,34.83,35.63,34.22,32.66,37.38,38
2025-09-08 18:00:00,18,25.96,34,31.8,31.45,33.96,27.88,30.08,46.71
2025-09-08 19:00:00,19,24.57,29.1,19.32,27.33,20.34,26.64,32.49,24.74
2025-09-08 20:00:00,20,5.68,3,7.5,10.4,6,11.71,14.41,23.27
2025-09-08 21:00:00,21,13.16,6,8.67,6,19.8,29.5,NaN,6
2025-09-08 22:00:00,22,9.45,4,4.33,7.11,23.71,2,NaN,2
2025-09-08 23:00:00,23,17.21,21.11,3.85,7.17,23.38,28.17,15.33,4
2025-09-09 00:00:00,24,15.4,24.89,14.19,22.71,39.88,18.64,29.94,21.6
2025-09-09 01:00:00,25,12.19,21.63,22.14,43.79,19.06,36,45.5,28.4
2025-09-09 02:00:00,26,16.9,5.5,6,11.6,36.31,28.16,20.8,24.44
2025-09-09 03:00:00,27,16.21,7.6,8.35,5.92,7.43,22.77,26.65,30.29
2025-09-09 04:00:00,28,19.33,5.11,11.36,63.71,23.54,4.5,6.8,4
2025-09-09 05:00:00,29,23.77,2.44,9.22,16.69,37.2,40.59,59.08,2.5
2025-09-09 06:00:00,30,31.27,40.98,16.89,42.29,35.25,35.42,38.4,38.36
2025-09-09 07:00:00,31,7.71,33.44,12.11,30.94,27.88,35.92,33.47,43.42
2025-09-09 08:00:00,32,31.41,5.6,30.13,26.76,55.63,31.23,46,16.8
2025-09-09 09:00:00,33,26.31,36.39,35.75,53.71,36.41,44.91,38.1,33.63
2025-09-09 10:00:00,34,27.54,39.92,40.07,32.14,31.18,38,51.22,35.41
2025-09-09 11:00:00,35,23.29,48.3,24.93,25.18,30.16,49.91,30,35.2
2025-09-09 12:00:00,36,22,37.84,31.68,42.16,54.43,44.1,35.04,44.14
2025-09-09 13:00:00,37,29.53,44.98,49.17,40.69,56.45,38.97,40.54,25.55
2025-09-09 14:00:00,38,23.43,36.76,34.67,25,30.11,36.45,46.53,43.64
2025-09-09 15:00:00,39,26.36,16.31,40.61,37.92,39.18,41.68,21.43,33.45
2025-09-09 16:00:00,40,22,36,19.04,38.34,32.68,46.27,61.92,51.3
2025-09-09 17:00:00,41,23.31,36.74,35.44,5.5,31.97,27.75,37.57,41.04
2025-09-09 18:00:00,42,20.31,27.23,41.7,35.21,29.29,45.9,39.86,34.33
2025-09-09 19:00:00,43,18.41,29.66,28,29.57,17.63,30,31.22,27.1
2025-09-09 20:00:00,44,8.85,17.33,16.79,11.4,5.25,18,18.67,27
2025-09-09 21:00:00,45,11.77,5.2,3,18.86,16.76,20.52,12.54,17.71
2025-09-09 22:00:00,46,10.13,25.74,33.05,7,46.58,21.24,6,14.33
2025-09-09 23:00:00,47,23.24,28.46,29.32,33.69,26.86,5,20.73,33.75
2025-09-10 00:00:00,48,10.87,26.54,32.72,39.38,7,31.94,29.01,28.19
2025-09-10 01:00:00,49,4,29.04,5,4.29,50.45,32.38,7.4,25.03
2025-09-10 02:00:00,50,30.05,6,2.89,56.64,27.28,39.7,6.18,3.71
2025-09-10 03:00:00,51,13.92,28.33,32.13,37.68,24.57,34.11,43.81,4
2025-09-10 04:00:00,52,23.96,19.35,31.02,4.5,5,17.93,28.57,40.53
2025-09-10 05:00:00,53,18.35,5.6,6.25,7.84,4,28.75,5.14,31.7
2025-09-10 06:00:00,54,30.86,6.57,6.18,33.6,26.13,30.78,42.29,4.33
2025-09-10 07:00:00,55,25.77,14.16,43.96,40.18,42.97,38.63,31.82,2.8
2025-09-10 08:00:00,56,20.26,5.75,3.33,5.33,3.2,30.63,7.33,33.33
2025-09-10 09:00:00,57,21.78,39.33,39.79,35.04,34.42,31.62,33.86,28.98
2025-09-10 10:00:00,58,25.92,42.62,39.61,49.24,39.5,35.08,43.27,35.17
2025-09-10 11:00:00,59,28.88,40.47,43.33,38.26,44.91,40.75,32.44,37.22
2025-09-10 12:00:00,60,24.14,27.26,47.26,39.15,18.44,42.96,52.71,43.32
2025-09-10 13:00:00,61,36.04,46.2,59.79,46.48,68.05,56.95,28.42,29.08
2025-09-10 14:00:00,62,34.25,25.35,33.45,41.96,34.98,37.93,33.2,47.38
2025-09-10 15:00:00,63,18.5,35.9,40.23,49.1,56.3,18.91,39.61,48.49
2025-09-10 16:00:00,64,24.13,50.83,45.7,47.64,24.73,47.32,43.81,39.68
2025-09-10 17:00:00,65,28.07,33.36,37.51,28.22,44.92,35.44,38.74,38.28
2025-09-10 18:00:00,66,20.32,29.55,43.27,28.21,37.52,26.31,25.38,35.58
2025-09-10 19:00:00,67,28.37,21.39,27.91,22.67,27.7,28.69,24.13,22.11
2025-09-10 20:00:00,68,4.1,9.9,13.16,5.33,18.45,7,17.25,6.5
2025-09-10 21:00:00,69,7.92,7,6.8,4.25,27.5,19.08,3.5,12.44
2025-09-10 22:00:00,70,15.28,3,2.67,3.8,33.47,24.5,3,18.41
2025-09-10 23:00:00,71,8.38,19.08,7.75,8.55,13.76,27.39,6,8.67
2025-09-11 00:00:00,72,12.14,7.2,4,5.17,27.96,30.78,6.5,2.4
2025-09-11 01:00:00,73,11.8,18.68,4.29,20.5,28.89,3.43,20.4,28.44
2025-09-11 02:00:00,74,14.49,25.71,10.93,43,16.29,38.86,27.32,35.53
2025-09-11 03:00:00,75,21.7,24.8,66.06,45.57,6,24.25,14.29,30.71
2025-09-11 04:00:00,76,15.63,6,40.9,6.91,5.64,23.74,4.5,4.29
2025-09-11 05:00:00,77,15.96,14.4,13.17,14.7,17.31,4.71,23.86,3.8
2025-09-11 06:00:00,78,6.2,4.67,34.65,58.98,50.73,41.05,38.07,5
2025-09-11 07:00:00,79,25.64,5,34,24.5,22.43,33.16,23.16,4.4
