Time Stamp:,Linear Time:,F1,F2,F3,F4,F5,F6,F7,F8
2025-09-08 15:00:00,15,64.67,65.33,95.33,99.06,56.17,68.83,65.28,69.39
2025-09-08 16:00:00,16,47,19.28,29.39,70.83,38.22,36.33,35.78,20.06
2025-09-08 17:00:00,17,45.61,46.67,28.5,26.72,26.44,22.5,20.17,32.83
2025-09-08 18:00:00,18,48.28,28.89,35.61,47.44,40.28,46.67,46.72,59
2025-09-08 19:00:00,19,29.44,37.17,68.89,77.39,45.22,45.06,41.11,33.94
2025-09-08 20:00:00,20,85.06,99.17,98.06,90.06,98.83,93.83,83.11,82.06
2025-09-08 21:00:00,21,62.94,96.11,97.72,96.94,83.61,67.61,100,98
2025-09-08 22:00:00,22,71.39,95.56,97.06,96.17,74.56,99.11,99.17,98
2025-09-08 23:00:00,23,35,29.17,94.44,93.56,43.5,30.78,97.06,98.61
2025-09-09 00:00:00,24,44.61,19,85.61,75,75.28,47.56,31.89,66
2025-09-09 01:00:00,25,83.22,35.78,77.39,16.72,74.39,89.94,94.17,28.5
2025-09-09 02:00:00,26,58.83,95.56,96.56,85.67,68.44,48.06,94.56,49.94
2025-09-09 03:00:00,27,51.5,94.72,78.72,89.33,92.5,60.78,56.78,42.89
2025-09-09 04:00:00,28,40.39,94.78,87.33,33.89,65.83,96.89,98.06,96.28
2025-09-09 05:00:00,29,33.39,96.22,58.72,73.89,44.78,42.78,76,95.61
2025-09-09 06:00:00,30,47.44,41.89,46.72,35.44,39.72,18.5,23.61,43.78
2025-09-09 07:00:00,31,95.67,27.83,77,47.94,68.28,66.78,50.78,18
2025-09-09 08:00:00,32,56.67,89,66.39,79,68.94,62.67,81,86
2025-09-09 09:00:00,33,22.61,32.39,23.11,22,33,22.72,45.33,24.72
2025-09-09 10:00:00,34,18.67,26.17,20.94,38.28,25.33,52.78,19.33,30.17
2025-09-09 11:00:00,35,20.39,17.44,34.89,62.33,58.44,32.78,59.28,22.22
2025-09-09 12:00:00,36,58.22,30.33,14.28,14.94,18.11,15.06,32.44,37.11
2025-09-09 13:00:00,37,12.61,16.44,32.44,14.17,11.5,56.56,19.44,52.94
2025-09-09 14:00:00,38,25.11,35.67,20.83,57.28,77.72,44.89,12.17,18.61
2025-09-09 15:00:00,39,15.22,59.28,50.61,36.11,15.83,19.72,88.22,48.83
2025-09-09 16:00:00,40,41.5,13.17,79.44,24.72,58.83,30.72,9.89,26.39
2025-09-09 17:00:00,41,28.78,22.89,13.5,95.44,19.33,91.61,24.33,33.06
2025-09-09 18:00:00,42,41.56,43.94,23,46.06,53.17,14.83,62.28,31.17
2025-09-09 19:00:00,43,49.06,44.33,61,70.56,60.11,53.89,34.44,72.44
2025-09-09 20:00:00,44,58.83,79.28,80.33,93.56,93.11,99.44,97.78,84
2025-09-09 21:00:00,45,58.72,98.39,96.72,91.17,54.33,74.61,87.17,86.78
2025-09-09 22:00:00,46,91.72,71.39,50.44,95.83,34.33,72.94,97.56,92.28
2025-09-09 23:00:00,47,55.22,36.28,48.17,35.56,54.06,97,54.33,73.61
2025-09-10 00:00:00,48,65.83,41.44,70.83,57.06,94.22,65.72,31.94,27.89
2025-09-10 01:00:00,49,98.33,74,97.06,94.72,16.72,21.33,96.44,68.94
2025-09-10 02:00:00,50,56.33,95.22,96.33,60.5,53.61,55.33,96.89,95.22
2025-09-10 03:00:00,51,47.22,50.83,66.78,31.17,80.17,58.06,56.56,97.44
2025-09-10 04:00:00,52,57.72,72.83,55.11,96.67,96.94,78.44,66.44,51.22
