Time Stamp:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
2025-09-08 15:00:00,15,5.67,3.56,3.61,4.44,3.22,2.06,4.17,6.17
2025-09-08 16:00:00,16,8.83,6.83,6.67,10.67,8.39,3.78,6.89,8.83
2025-09-08 17:00:00,17,6.33,5.94,5.22,2.94,7.94,7.22,10.61,6.39
2025-09-08 18:00:00,18,7,8.11,7.33,9.39,7.22,5.39,2.28,7.89
2025-09-08 19:00:00,19,7.44,4.11,6.89,5,5.94,3.94,10.22,6.61
2025-09-08 20:00:00,20,6.33,2.5,2.83,3.39,5.67,1.78,1.11,0.39
2025-09-08 21:00:00,21,5.17,1.67,2,5.06,0.33,0.17,1.89,8.22
2025-09-08 22:00:00,22,7.5,2.56,0,2,2.67,0.56,3.56,1.83
2025-09-08 23:00:00,23,4.72,7.61,0.56,1.78,5.89,3.11,6.89,1.5
2025-09-09 00:00:00,24,5.5,2.83,0.33,13.28,10.17,4.11,9.61,14.28
2025-09-09 01:00:00,25,9,8.89,2.17,12.06,13.94,0.89,7.89,5.11
2025-09-09 02:00:00,26,6.5,3,5.89,9.33,5,1.28,10.11,16.33
2025-09-09 03:00:00,27,7.28,8.67,15.11,2.83,6.44,4.89,2.72,11.94
2025-09-09 04:00:00,28,5.17,3.22,9.06,11.67,2.78,1.83,5.83,2.94
2025-09-09 05:00:00,29,13.39,2.83,5.11,1.61,8.94,1,5.89,4.06
2025-09-09 06:00:00,30,5.56,6.06,5,2.83,4.56,0.67,8.44,3.22
2025-09-09 07:00:00,31,6.56,6.72,6.89,13.72,2.17,4.11,2.83,2.94
2025-09-09 08:00:00,32,1.83,2.94,5.78,9.78,7.67,5.44,3.39,6.06
2025-09-09 09:00:00,33,7.28,8.83,6.22,5.72,9.11,4.83,5.44,6.94
2025-09-09 10:00:00,34,5.5,9.22,6.17,10.94,7.72,6.56,11.94,3.11
2025-09-09 11:00:00,35,4.44,9.06,9.94,9.39,3.11,1.22,13.44,7
2025-09-09 12:00:00,36,7.39,7,5.56,9.83,6.78,7.5,10.44,8.5
2025-09-09 13:00:00,37,8.17,5.83,10.89,9.67,6.11,3.06,11.22,5.22
