,Start Time:,2025-09-08 15:00:00, End Time:,2025-09-11 08:00:00, Normalization:,State Time,,,
Time Stamps:,Linear Time:,F1,F2,F3,F4,F5,F6,F7,F8
2025-09-08 15:00:00,15,4.44,6.28,6.67,4,5.55,6.36,5.81,6.78
2025-09-08 16:00:00,16,6.67,6.86,6.15,6.47,6.5,6.71,4.71,6.77
2025-09-08 17:00:00,17,6,8.32,6.37,5.38,4.98,5.32,4.37,7.22
2025-09-08 18:00:00,18,7.95,6.97,5.78,7,5.71,6.05,6.32,5.85
2025-09-08 19:00:00,19,6.51,5.82,5.93,7.41,7.96,6.68,5.06,6.48
2025-09-08 20:00:00,20,10.21,3,7.33,8.25,4,3.6,4.3,6.44
2025-09-08 21:00:00,21,8.79,7.43,2,4.2,5.29,5.16,NaN,6
2025-09-08 22:00:00,22,9.3,26,5.67,5.67,6.8,5,3,6.57
2025-09-08 23:00:00,23,7.43,5.95,5.57,6.73,5.02,6,4.86,3.43
2025-09-09 00:00:00,24,8.19,5.67,6.44,4.67,7.88,4.42,7.71,5.27
2025-09-09 01:00:00,25,5.76,4.74,4.78,6.65,4.7,2.67,4,4.61
2025-09-09 02:00:00,26,8.24,5.27,7.14,5.3,4.78,6.36,12,5.84
2025-09-09 03:00:00,27,7,9.43,5.85,5.79,11.57,7.72,4.71,4.73
2025-09-09 04:00:00,28,7.97,10.22,5.67,4.95,9.48,6.44,2,6.2
2025-09-09 05:00:00,29,7.9,4.33,6.58,6.62,4.36,6.42,4.44,10.8
2025-09-09 06:00:00,30,5.35,5.37,7.08,5.91,4.38,6.19,5.77,5.17
2025-09-09 07:00:00,31,6,5.79,6.85,6.28,4.75,6.64,3.38,5.59
2025-09-09 08:00:00,32,6.69,8.1,7.65,6.25,7.47,7.55,5.17,12
2025-09-09 09:00:00,33,6.77,7.55,9.67,12.2,4.88,6.06,7.53,5.83
2025-09-09 10:00:00,34,5.78,7.33,6.09,5.39,6.17,9.2,7.5,5.49
2025-09-09 11:00:00,35,6,7.6,6.96,7.93,8.09,3.93,5,5.52
2025-09-09 12:00:00,36,8.4,7.82,7.93,4.34,5.44,4.77,9.22,6.76
2025-09-09 13:00:00,37,6.54,7.05,6.79,7.22,6.67,6.38,7.13,4.08
2025-09-09 14:00:00,38,6.56,7.88,6.65,6.34,5.81,4.89,5.23,6.3
2025-09-09 15:00:00,39,5.43,6.92,6.6,4.26,4.4,6.68,4.55,3.69
2025-09-09 16:00:00,40,6.94,7.3,6.54,5.4,5.1,6.22,6.32,4.64
2025-09-09 17:00:00,41,6.05,6.1,5.42,7.71,5.69,3.78,5.71,5.05
2025-09-09 18:00:00,42,7.2,6.1,8.51,5,3.92,5.53,5.47,4.17
2025-09-09 19:00:00,43,6.08,12.12,7.6,5.47,4.38,5,4.18,6.4
2025-09-09 20:00:00,44,8.95,4.9,4.67,11.14,3.88,NaN,7,5.54
2025-09-09 21:00:00,45,7.21,3,13,4,4.06,5.5,2.43,3
2025-09-09 22:00:00,46,8.25,6,5.36,8,5.18,4.43,2.8,5.33
2025-09-09 23:00:00,47,4,4.9,5.54,4.67,3.84,5.33,5.45,3.45
2025-09-10 00:00:00,48,6.33,5.29,6.63,7.71,3.64,3.52,4.29,4.34
2025-09-10 01:00:00,49,8.67,8.77,3.11,5.67,4.5,6.59,3.33,4.52
2025-09-10 02:00:00,50,3.59,9.75,7.25,5.29,5.3,6.35,2,6.86
2025-09-10 03:00:00,51,6.94,7.85,6.12,4.29,5.41,5.4,3.64,4.4
2025-09-10 04:00:00,52,4.1,8.09,5.35,5.09,7,9.26,3.47,4.75
2025-09-10 05:00:00,53,4.49,5.71,8.61,5.5,8,4.77,6.4,5.76
2025-09-10 06:00:00,54,3.61,5,6.36,6.91,3.83,3.4,5.06,7.33
2025-09-10 07:00:00,55,4.76,12.64,4.18,5.5,3.78,5,6.17,4.33
2025-09-10 08:00:00,56,6.48,4.5,5.43,7.2,5.71,4.4,6.4,3.63
2025-09-10 09:00:00,57,7.38,3.89,5,6,4.36,5.74,4,4.06
2025-09-10 10:00:00,58,5.73,6.63,6.53,3.77,5.81,5.57,3.55,3.83
2025-09-10 11:00:00,59,5.53,6.45,6.88,3.87,6.57,5.73,6.38,3.43
2025-09-10 12:00:00,60,5.59,6.43,6.19,8.14,6.61,4.16,6.39,6.48
2025-09-10 13:00:00,61,4.26,7.35,10.11,7,9,5.7,5.57,6.56
2025-09-10 14:00:00,62,4.85,8.97,6.43,4.9,8.08,8.27,5.17,4.08
2025-09-10 15:00:00,63,4.71,6,4.7,5.94,5.78,11.38,5.2,8.96
2025-09-10 16:00:00,64,3.88,4.76,6.28,9.47,6.36,4.72,4.55,5.04
2025-09-10 17:00:00,65,5.8,9.35,6.85,2.75,4.56,7.2,5.35,5.11
2025-09-10 18:00:00,66,7.3,7.73,8.64,4.82,4.74,7.84,4.28,5.78
2025-09-10 19:00:00,67,4.85,7.56,4.96,6.27,5.35,5.02,5.26,5.84
2025-09-10 20:00:00,68,4.31,4.75,6.14,4,9.18,6,4.5,7.29
2025-09-10 21:00:00,69,6.07,10.5,6,6.67,4,4.5,2.86,6.37
2025-09-10 22:00:00,70,8.56,8,4,7,8.43,3.67,3,6.18
2025-09-10 23:00:00,71,8.42,7.13,7.11,5.6,6.58,5.28,4,12.6
2025-09-11 00:00:00,72,6.41,5,8.5,7.5,4.59,6.24,4.4,9.27
2025-09-11 01:00:00,73,7.44,6.51,8,3.75,5.24,8,3,4.39
2025-09-11 02:00:00,74,5.05,5.14,7.63,5.9,4.5,5.79,5.13,5.5
2025-09-11 03:00:00,75,4.14,5.56,4.4,7.66,8,5.84,6.12,5.62
2025-09-11 04:00:00,76,5.82,3,6.6,8,5.25,3.6,4,6.5
2025-09-11 05:00:00,77,5.54,9.6,5.29,4.5,5.92,5.73,4.13,5.71
2025-09-11 06:00:00,78,5.45,10.67,4.75,4.36,5.15,4.96,4.37,5.33
2025-09-11 07:00:00,79,5.66,11,5.87,5.5,7.03,7.61,3.79,5.8
