Time Stamp:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
2025-09-08 15:00:00,15,44.89,23.28,42.06,46.72,44.72,29.06,33.78,47.72
2025-09-08 16:00:00,16,59.06,61.44,52.72,58.67,57.56,69.89,61.44,57.83
2025-09-08 17:00:00,17,41.72,77.11,65.22,24.28,66.61,61.89,67.94,63.94
2025-09-08 18:00:00,18,49.17,54.33,58,62.56,47.28,64,21.72,41.39
2025-09-08 19:00:00,19,36.89,39.5,50.72,41,52.44,35.44,51.17,55.78
2025-09-08 20:00:00,20,9.72,1.11,7,7.78,12.22,14.72,3,0.39
2025-09-08 21:00:00,21,13.22,4.44,0.56,0.39,0.17,0.17,1.5,35.61
2025-09-08 22:00:00,22,45.17,11.94,0,1.06,15.33,19.61,16.39,1
2025-09-08 23:00:00,23,1.56,46.22,0.17,9.44,27.5,48.33,62.33,17.22
2025-09-09 00:00:00,24,39.56,18.06,0.22,68.39,53.83,49.83,50.44,52.11
2025-09-09 01:00:00,25,46.67,52.17,1.78,57,51.22,0.39,64,5.06
2025-09-09 02:00:00,26,13.78,22.39,26.78,18.28,17.39,39.33,37.5,39.94
2025-09-09 03:00:00,27,26.06,28.72,54.61,2.06,21.33,41.67,3.83,16.28
2025-09-09 04:00:00,28,15.06,2.61,11.56,56.89,3.94,9.44,45.67,2.33
2025-09-09 05:00:00,29,2.78,3.61,58.72,0.39,42.11,1.11,10.78,29.06
2025-09-09 06:00:00,30,58.61,48.78,42.33,34.39,28.22,1.39,64.33,2.56
2025-09-09 07:00:00,31,46.94,67.56,62.78,65.61,37.89,53.83,4.06,34.94
2025-09-09 08:00:00,32,45.94,11.28,31.67,55.5,57.22,44.72,46.61,46.89
2025-09-09 09:00:00,33,55.67,67.89,74.72,37.22,51.22,65.17,61.11,68.17
2025-09-09 10:00:00,34,37.17,53.56,84.39,65.5,72.44,65.56,46,33.67
2025-09-09 11:00:00,35,65.61,73.39,47.39,53.22,14,32.67,63.44,64.22
2025-09-09 12:00:00,36,43.39,66.44,89.44,74.33,83.5,73.44,72.33,73
2025-09-09 13:00:00,37,73.5,59.56,58.61,63.39,47.33,55.33,62,71.67
