,Start Time: ,2025-09-08 15:00:00, End Time:,2025-09-11 08:00:00,,,,
Mouse IDs: ,F1,F2,F3,F4,F5,F6,F7,F8
2025-09-08 15:00:00,3.43,5.44,5.89,5.03,5.6,5.95,5.91,6
2025-09-08 15:01:00,3.24,5.55,5.9,6,2.78,6,5.65,5.64
2025-09-08 15:02:00,5.46,5.76,5.64,5.62,6,6,6,6
2025-09-08 15:03:00,2.75,6,5.64,4.56,5.72,6,6,5.86
2025-09-08 15:04:00,3.8,5.75,4.95,4.54,6,5.94,6,6
2025-09-08 15:05:00,5.2,5.99,5.82,5.8,6,5.75,6,6
2025-09-08 15:06:00,5.34,6,5.25,4.35,6,5.37,6,3.44
2025-09-08 15:07:00,5.82,3.96,5.81,5.18,6,5.95,5.99,4.48
2025-09-08 15:08:00,5.23,3.54,5.85,5.63,5.8,5.67,5.73,2.88
2025-09-08 15:09:00,3.99,5.24,4.73,5.73,6,5.93,4.8,5.91
2025-09-08 15:10:00,5.9,6,5.35,5.86,6,4.57,5.01,5.89
2025-09-08 15:11:00,5.14,4.29,4.08,4.1,6,5.69,5.96,5.81
2025-09-08 15:12:00,4.2,5.93,4.19,5.52,5.91,5.66,5.4,6
2025-09-08 15:13:00,3.67,5.13,5.26,5.95,6,6,5.89,6
2025-09-08 15:14:00,5.05,5.96,4.66,5.61,6,6,5.28,6
2025-09-08 15:15:00,3.94,6,5.25,5.71,6,6,4.43,6
2025-09-08 15:16:00,4.11,5.85,5.75,6,5.92,5.67,4.98,6
2025-09-08 15:17:00,3.31,5.95,4.02,5.92,6,5.81,6,5.99
2025-09-08 15:18:00,2.21,6,5.25,4.16,5.66,6,6,5.85
2025-09-08 15:19:00,3.24,5.77,4.92,5.47,5.91,6,5.49,6
2025-09-08 15:20:00,2.98,4.36,4.39,5.77,5.95,6,5.35,2.39
2025-09-08 15:21:00,3.73,4.43,5.41,5.83,5.27,5.94,5.94,5.34
2025-09-08 15:22:00,5.35,5.79,5.24,5.86,5.45,5.98,3.57,4.77
2025-09-08 15:23:00,5.85,5.91,5.31,5.37,5.81,5.95,0.29,4.79
2025-09-08 15:24:00,4.97,5.16,5.86,5.65,5,5.12,0.57,5.36
2025-09-08 15:25:00,5.18,4.3,5.33,5.84,4.98,4.6,0.16,4.2
2025-09-08 15:26:00,5.29,1.62,3.49,4.96,4.25,5.12,0.16,2.05
2025-09-08 15:27:00,5.37,1.14,1.33,6,0.31,5.93,0,3.88
2025-09-08 15:28:00,4,1.97,3.33,6,3.9,6,0.34,5.8
2025-09-08 15:29:00,3.37,4.79,3.76,5.93,5.12,5.95,0.26,5.7
2025-09-08 15:30:00,2.95,4.13,5.35,6,5.23,6,0,6
2025-09-08 15:31:00,2.2,5.59,4.65,3.5,6,6,0.09,5.19
2025-09-08 15:32:00,0.97,5.59,4.62,4.85,4.31,4.69,0.14,4.82
2025-09-08 15:33:00,0.76,5.11,4.84,5.63,1.64,4.79,1.31,4.9
2025-09-08 15:34:00,0.19,5.07,5.1,6,0.45,6,2.79,5.03
2025-09-08 15:35:00,0.55,2.7,4.41,5.82,0.21,6,0.78,2.45
2025-09-08 15:36:00,0,2.93,5.51,5.98,0,5.99,1.28,2.08
2025-09-08 15:37:00,0.37,1.64,3.95,6,0.5,5.76,0,2.91
2025-09-08 15:38:00,0,1.41,5.35,6,0.15,5.73,0.81,5.84
2025-09-08 15:39:00,0,1.16,4.98,6,0,3.91,0.25,2.03
2025-09-08 15:40:00,0,0,3.14,2.88,0.13,0.25,0,2.5
2025-09-08 15:41:00,0,0,4.67,3.86,0.13,0.41,0.12,3.78
2025-09-08 15:42:00,0.82,0.72,4.89,1.81,0,0,0,1.24
2025-09-08 15:43:00,0.52,0.35,5.42,2.61,0,0,0.22,0.29
2025-09-08 15:44:00,0.19,0,5.44,5.16,0,0,0,0.01
2025-09-08 15:45:00,0,0.58,4.81,5.65,2.16,0,3.42,0.72
2025-09-08 15:46:00,0.81,0,5.74,5.97,0.63,0.38,5.89,0.09
2025-09-08 15:47:00,0.21,0,1.16,5.98,0.29,1.06,4.73,0.62
2025-09-08 15:48:00,0.11,0.13,0,5.98,0,0,4.7,0.2
2025-09-08 15:49:00,0.35,0,3.06,5.95,0.64,0.51,5.67,0.24
2025-09-08 15:50:00,0.47,0.23,4.96,4.68,0.44,1.11,5.89,1.12
2025-09-08 15:51:00,1.53,0,5.42,2.2,0.21,0,5.94,1.34
2025-09-08 15:52:00,0,1.23,4.61,5.79,0.19,0.18,5.73,0
2025-09-08 15:53:00,0.23,0.26,4.97,6,0,0,5.59,0.1
2025-09-08 15:54:00,0,0,4.23,5.98,0,0.42,5.98,0
2025-09-08 15:55:00,2.71,0.23,1.28,6,0,0,5.87,0
2025-09-08 15:56:00,3.78,0.19,4.52,5.47,0.31,0,5.74,0.31
2025-09-08 15:57:00,5.04,0,4.23,4.86,0,0.25,6,1.09
2025-09-08 15:58:00,5.1,0,5.44,6,0,0.4,4.45,0
2025-09-08 15:59:00,5.25,0.78,2.58,6,0.55,1.05,2.11,0.32
2025-09-08 16:00:00,5.55,0,2.59,3.67,0,0.36,0.37,0
2025-09-08 16:01:00,5.89,0.39,1.95,5.76,0,0.44,0.19,1.37
2025-09-08 16:02:00,4.84,0.13,1.85,5.97,1.53,0.27,0,0.43
2025-09-08 16:03:00,4.35,0,2.86,2.96,2.18,0,0.78,0
2025-09-08 16:04:00,3.92,0,3.11,6,5.83,0.6,0,0.3
2025-09-08 16:05:00,4.91,0.28,2.82,6,5.91,0,0.5,0
2025-09-08 16:06:00,5.45,3.86,3.28,5.93,6,0,0,0
2025-09-08 16:07:00,5.94,0.52,5.45,6,6,0.53,1.44,0
2025-09-08 16:08:00,5.13,0,4.93,6,6,0.46,0,1.34
2025-09-08 16:09:00,4.37,0.22,1.29,4.77,6,0,0,4.75
2025-09-08 16:10:00,3.49,0,2.39,1.12,5.96,4.28,0,4.98
2025-09-08 16:11:00,4.29,0.16,1.09,0.37,5.61,2.05,0.12,1.46
2025-09-08 16:12:00,2.5,0,0.12,1.77,4.81,0,0,0
2025-09-08 16:13:00,3.42,0,0,1.64,4.91,0.77,0.09,0.11
2025-09-08 16:14:00,4.92,0.4,0,1.56,5.97,0.28,0,0
2025-09-08 16:15:00,5.2,0,0,1.46,5.93,0,0,0
2025-09-08 16:16:00,4.39,0,0,1.64,5.96,0.79,0,0
2025-09-08 16:17:00,5.16,1.34,0.55,1.74,5.28,0.1,0.38,0.07
2025-09-08 16:18:00,5.85,1.21,2.3,3.79,4.13,0.65,0.89,0.58
2025-09-08 16:19:00,2.17,1.26,0.34,5.52,2.61,1.08,0.14,0
