,Start Time:,2025-09-08 15:00:00, End Time:,2025-09-11 08:00:00, Normalization:,State Time,,,
Time Stamps:,Linear Time:,F1,F2,F3,F4,F5,F6,F7,F8
2025-09-08 15:00:00,15,91.04,109.71,379.11,889,85.91,163.2,88.38,97.6
2025-09-08 16:00:00,16,41.33,15.74,27.39,104.25,42.39,40.13,34.69,26.72
2025-09-08 17:00:00,17,41.16,48.79,22.43,19.77,24.39,14.16,19.24,33.76
2025-09-08 18:00:00,18,47.54,25.95,34.63,49.64,40.53,33.53,47.35,99.14
2025-09-08 19:00:00,19,17.85,31.4,78,152.78,35.81,35.49,34.95,29.33
2025-09-08 20:00:00,20,85.37,507.71,880,322,709.2,257.69,155.37,162
2025-09-08 21:00:00,21,57.58,312.36,388.67,266.15,101.66,81.86,3596,389.78
2025-09-08 22:00:00,22,83.6,489.14,347.2,264.15,114.61,592.33,710.8,438.25
2025-09-08 23:00:00,23,18.83,17.3,176.84,151,29.88,23.67,434.75,441.25
2025-09-09 00:00:00,24,37.12,11.37,169.22,101.85,223.67,27.34,20.51,60.53
2025-09-09 01:00:00,25,88.79,25.36,93.93,13.84,68.47,357.78,675.6,18.48
2025-09-09 02:00:00,26,108.95,227.07,313.82,97.16,115.14,39.19,307.27,33.22
2025-09-09 03:00:00,27,50.8,211,67.07,98.44,275.33,70.87,61.69,32.22
2025-09-09 04:00:00,28,36.26,225.2,123.76,46.8,67.59,434,439,228.93
2025-09-09 05:00:00,29,30.32,170.8,27.61,73.89,39.28,41.94,158.71,262.62
2025-09-09 06:00:00,30,51.25,28.08,28.51,29.02,42.5,14,15.31,39.47
2025-09-09 07:00:00,31,262.77,18.75,53.32,35.3,88.89,94,46,11.66
2025-09-09 08:00:00,32,53.08,92.18,86.37,107.31,163.2,81.56,151.47,121.84
2025-09-09 09:00:00,33,27.07,27.1,16.09,20.57,41.85,17.85,34.95,19.66
2025-09-09 10:00:00,34,13.53,24,15.14,27.74,19.12,80.52,17.28,29.82
2025-09-09 11:00:00,35,18.28,14.97,23.59,55.49,75.78,36.06,57.17,20.17
2025-09-09 12:00:00,36,45.64,26.58,9.77,11.69,22.07,11.85,25.81,36.06
2025-09-09 13:00:00,37,11.64,12.44,26.39,11.68,13.26,48.8,17.39,41.32
2025-09-09 14:00:00,38,19.48,35.59,13.46,33.52,82.79,48.5,12,13.95
2025-09-09 15:00:00,39,11.65,42.25,49.77,24.45,13.35,17.5,242.15,49.59
2025-09-09 16:00:00,40,29.74,11.54,81.94,18.7,64.13,27.62,9.42,23.62
2025-09-09 17:00:00,41,25.16,17.38,9.3,226.93,11.84,204,17,26.93
2025-09-09 18:00:00,42,35.35,38.51,18.7,33.96,55.94,16.41,80.96,20.69
2025-09-09 19:00:00,43,42,39.84,58.94,91.93,44.96,47.59,29.74,98.15
2025-09-09 20:00:00,44,60.24,81.88,94.33,195.88,121.78,1787,877.5,186.88
2025-09-09 21:00:00,45,54.97,391.33,432.5,203,31.59,87.4,106.14,193.13
2025-09-09 22:00:00,46,171.68,96.69,48.39,342.6,40.48,91.71,317.27,235.14
2025-09-09 23:00:00,47,40.17,26.26,37.36,22.11,55.24,266.46,32.86,96.15
2025-09-10 00:00:00,48,43.46,33.1,108.78,73.93,197.41,96.42,21.43,15.89
2025-09-10 01:00:00,49,503.43,113.74,230.8,168.2,12,16.68,313.45,83.52
2025-09-10 02:00:00,50,59.39,283.5,264.62,81.69,37.92,92.76,230.4,169.3
2025-09-10 03:00:00,51,28.73,39.5,68.65,24.67,118.17,75.41,63.61,267.69
2025-09-10 04:00:00,52,52.63,77.15,58,246.29,247.14,92,64.22,46.47
2025-09-10 05:00:00,53,50.55,315.64,141.91,105.52,385.33,91,179.58,31.32
2025-09-10 06:00:00,54,35.88,230,224,23.12,114.64,170.71,16.68,136.25
2025-09-10 07:00:00,55,35.06,114.55,21.25,9.58,10.9,18.98,15.92,249.57
2025-09-10 08:00:00,56,66.33,160,248.29,225.33,348.6,144.8,313.45,80.93
2025-09-10 09:00:00,57,22.47,18.16,20.89,96.77,36.61,12.84,52.35,19.87
2025-09-10 10:00:00,58,40.62,31.9,18.62,26.56,23.59,25,55.07,22.5
2025-09-10 11:00:00,59,47.8,10.06,44.69,34.29,22.57,94.56,35.08,34.85
2025-09-10 12:00:00,60,21.07,14,29.64,50.24,40.94,33.06,16.5,17.28
2025-09-10 13:00:00,61,25.44,7.33,63.44,39.7,11.58,25.5,23.06,100.62
2025-09-10 14:00:00,62,30.7,17.46,38.88,32.39,22.64,21.09,22.74,15.36
2025-09-10 15:00:00,63,67.4,17.33,49.48,35.56,8.53,91.56,10.79,33.09
2025-09-10 16:00:00,64,32.15,7.52,29.33,23.32,25.33,17.38,24,79.55
2025-09-10 17:00:00,65,25.04,17.06,26.14,203,10.9,16,11.26,15.58
2025-09-10 18:00:00,66,21.63,16,64.14,12.14,43.89,51.06,32.3,21.35
2025-09-10 19:00:00,67,39.15,17.61,45,45.9,39.1,28.95,27.2,20.62
2025-09-10 20:00:00,68,79.2,148.48,90.9,171.1,109.92,890.5,53.17,143.65
2025-09-10 21:00:00,69,93.88,583,349.2,385.11,265.17,152.63,267.69,80.17
2025-09-10 22:00:00,70,48.62,590,391.11,190.33,143.7,210.8,393.11,62.7
2025-09-10 23:00:00,71,64.15,69.19,310,226.13,78.74,31.11,504.29,238.86
2025-09-11 00:00:00,72,37.59,498.57,313.27,283.17,40.4,32.11,290.67,212.88
2025-09-11 01:00:00,73,27.26,34.31,241.14,107.26,86.23,288.83,254.46,29.73
2025-09-11 02:00:00,74,37.84,12.83,213.73,32.21,177.56,60.44,22.19,22.71
2025-09-11 03:00:00,75,92.87,13.68,41.36,51.04,133.65,36.87,104.21,66.71
2025-09-11 04:00:00,76,27.41,351.6,96.55,158.86,188.78,166.82,288.83,245.43
2025-09-11 05:00:00,77,57.17,573,162.6,96.39,81.09,150.45,63.14,211.63
2025-09-11 06:00:00,78,160.29,439.25,56.76,11.33,26.29,48,36.53,266.15
2025-09-11 07:00:00,79,11.53,349.6,28.6,59.03,55.41,13.11,93.5,213
