,Start Time: ,2025-09-08 15:00:00, End Time:,2025-09-11 08:00:00,,,,
Mouse IDs: ,M1,M2,M3,M4,M5,M6,M7,M8
2025-09-08 15:00:00,3.58,5.53,5.34,5.63,5.24,5.85,4.26,5.55
2025-09-08 15:01:00,3.38,5.51,6,4.7,4.36,6,5.34,5.53
2025-09-08 15:02:00,3.98,5.56,5.09,5.11,5.53,5.88,4.9,5.93
2025-09-08 15:03:00,3.65,5.52,3.28,4.06,5.86,5.86,5.45,4.4
2025-09-08 15:04:00,4.83,4.89,2.8,4.67,5.96,5.22,4.15,3.75
2025-09-08 15:05:00,3.33,5.99,0,5.4,5.95,3.97,2.87,4.29
2025-09-08 15:06:00,5.08,5.32,0,3.84,5.78,5.58,4.17,5.88
2025-09-08 15:07:00,5.04,3.11,0,3.42,5.87,5.92,4.43,3.76
2025-09-08 15:08:00,3.51,5.13,0,3.7,5.57,6,4.04,3.6
2025-09-08 15:09:00,3.46,5.61,2.48,5.32,5.96,6,5.72,4.84
2025-09-08 15:10:00,1.77,5.73,5.76,4.58,5.13,6,4.83,5.41
2025-09-08 15:11:00,1.92,5.44,4.13,3.23,5.9,6,4.92,4.77
2025-09-08 15:12:00,1.66,3.43,4.18,4.76,5.94,5.43,4.09,2.83
2025-09-08 15:13:00,1.71,5.67,6,5.06,1.45,5.47,5.8,3.63
2025-09-08 15:14:00,3,5.8,6,3.31,4.34,5.38,3.26,3.89
2025-09-08 15:15:00,1.99,6,6,5.14,4.53,6,3.36,4.21
2025-09-08 15:16:00,2.19,6,5.7,5.77,3.17,5.77,2.09,5.49
2025-09-08 15:17:00,2.31,5.97,6,4.91,2.93,5.83,5.93,2.96
2025-09-08 15:18:00,1.75,4.61,5.99,4.69,4.91,6,5.51,2.61
2025-09-08 15:19:00,1.38,4.15,5.65,4.74,5.18,5.9,5.87,4.69
2025-09-08 15:20:00,1.87,3.17,4.95,2.36,2.87,6,5.73,5.18
2025-09-08 15:21:00,2.55,5.72,5.12,0.49,4.78,6,3.88,5.44
2025-09-08 15:22:00,1.96,6,0.65,0.96,3.72,6,2.07,5.63
2025-09-08 15:23:00,2.35,5.85,0.7,0,3.26,6,4.29,2.75
2025-09-08 15:24:00,1.22,6,1.2,0.69,3.32,3.72,3.49,0.7
2025-09-08 15:25:00,0.36,5.94,0.5,0,5.02,4.14,2.25,0.49
2025-09-08 15:26:00,0.13,5.57,5.12,0.34,2.01,5.94,3.28,0
2025-09-08 15:27:00,0,5.75,4.14,0.48,0,6,3.33,1.03
2025-09-08 15:28:00,0,4.02,5.5,0.4,0.03,6,3.15,0
2025-09-08 15:29:00,0.21,3.62,4.3,0,0.28,5.79,4.14,0
2025-09-08 15:30:00,0,3.53,5.53,1.02,0,6,3.18,1.28
2025-09-08 15:31:00,0.07,3.59,4.9,0.42,0,4.86,4.33,0.62
2025-09-08 15:32:00,0.41,3.77,5.81,0,0.8,4.46,4.94,0.04
2025-09-08 15:33:00,0.5,3.67,5.82,0.42,0.16,3.98,1.68,0.44
2025-09-08 15:34:00,0,5.18,5.7,0,0.41,4.22,2.16,0
2025-09-08 15:35:00,0,3.64,4.63,2.43,0,3.73,3.66,0.09
2025-09-08 15:36:00,0.67,2.25,5.71,0.02,0.14,5.78,1.74,0.19
2025-09-08 15:37:00,0,5.57,3.06,0.31,0.11,5.1,3.21,0.32
2025-09-08 15:38:00,0.04,5.42,0.95,3.26,0,5.6,0.2,3.22
2025-09-08 15:39:00,0,3.01,0.81,0.45,0,2.31,0,1.57
2025-09-08 15:40:00,0,1.71,0.4,0.73,0.07,0.32,0.2,0.13
2025-09-08 15:41:00,0.14,1.91,0.44,0.22,1.08,0,0.19,0
2025-09-08 15:42:00,0,0.42,0,1.63,0.25,0,0,0
2025-09-08 15:43:00,0.4,0.14,0,0.43,0.28,0,0.2,0
2025-09-08 15:44:00,0,0,1.73,1.69,0.91,0.49,0,0
2025-09-08 15:45:00,0,1.32,3.57,0.53,0,0,0,0.41
2025-09-08 15:46:00,0,0.2,4.49,0.4,0.21,0.28,0,1.56
2025-09-08 15:47:00,0.11,0,3.94,0.15,0.02,0.07,0.05,0
2025-09-08 15:48:00,0.35,0.41,1.46,0,0.54,0.35,0.28,0.08
2025-09-08 15:49:00,0.34,0.36,0.35,0.23,0.37,0,0.57,0.09
2025-09-08 15:50:00,0.76,0.24,0.26,0.2,0,0.15,0,0.47
2025-09-08 15:51:00,0,0,0,0.12,0,0.09,0,0.05
2025-09-08 15:52:00,0,0.14,1.47,0,0.44,0.25,0,0.07
2025-09-08 15:53:00,0.09,0.14,0,0.26,0.22,0.29,0.13,0.13
2025-09-08 15:54:00,0,0.31,0.33,0,0,0.65,0,0
2025-09-08 15:55:00,0,0.03,0,0.22,1.81,0,0.18,0.16
2025-09-08 15:56:00,0,0,1.6,1.23,0.98,0,0.11,0
2025-09-08 15:57:00,1.25,1.24,0.52,3.56,0,0,0,0
2025-09-08 15:58:00,3.67,0.29,0.6,1.66,0.94,0,0,0.16
2025-09-08 15:59:00,3.84,0,0,0.23,1.99,0.57,0.07,0
2025-09-08 16:00:00,1.49,0,2.02,0.42,1.78,1.35,0.1,0.19
2025-09-08 16:01:00,3.36,0,4.66,0,0.24,0,0,1.19
