	dmso	drug
0	5.516666666666667	24.783333333333335
1	9.65	16.566666666666666
2	13.883333333333333	18.366666666666667
3	3.05	12.1
4	42.65	39.6
5	12.666666666666666	28.716666666666665
6	60.45	26.116666666666667
7	16.816666666666666	18.033333333333335
8	13.666666666666666	6.95
9	16.833333333333332	7.25
10	19.266666666666666	15.683333333333334
11	58.75	14.483333333333333
12	35.43333333333333	30.633333333333333
13	20.433333333333334	31.416666666666668
14	12.133333333333333	15.866666666666667
15	33.166666666666664	16.033333333333335
16	11.733333333333333	12.1
17	14.166666666666666	14.533333333333333
18	17.65	27.2
19	12.533333333333333	6.616666666666666
20	8.666666666666666	
21	10.15	
22	13.4	
23	24.166666666666668	
