	dmso-mut	drug-mut
0	530.2063492063492	1063.5873015873017
1	871.1587301587301	637.2539682539683
2	689.6507936507936	1015.8253968253969
3	446.46031746031747	490.1746031746032
4	1233.904761904762	781.0
5	555.7777777777778	2264.253968253968
6	536.4285714285714	1153.873015873016
7	562.2539682539683	2665.3492063492063
8	1148.5555555555557	3290.0476190476193
9	641.4126984126984	1860.1746031746031
10	756.3650793650794	1593.857142857143
11	623.5238095238095	1834.1904761904761
12	671.9047619047619	1091.888888888889
13	864.063492063492	1513.857142857143
14	526.6507936507936	3326.6666666666665
15	935.8571428571429	1315.7619047619048
16		1154.5873015873017
17		1120.0
18		1150.1746031746031
19		2776.285714285714
20		2458.3015873015875
21		1847.3333333333333
22		1917.079365079365
