	dmso_wt	dmso_het
0	7.05	5.683333333333334
1	4.2	23.566666666666666
2	4.966666666666667	7.966666666666667
3	2.966666666666667	13.166666666666666
4	11.033333333333333	46.45
5	3.6666666666666665	19.35
6	4.566666666666666	19.466666666666665
7	5.516666666666667	16.9
8	21.566666666666666	51.53333333333333
9	30.566666666666666	18.033333333333335
10	8.216666666666667	34.81666666666667
11	15.033333333333333	15.7
12	13.6	24.066666666666666
13	184.18333333333334	8.15
14	9.966666666666667	7.866666666666666
15	9.916666666666666	11.2
16	4.8	33.266666666666666
17	9.416666666666666	28.216666666666665
18	6.733333333333333	11.033333333333333
19	13.066666666666666	30.883333333333333
20	8.633333333333333	35.38333333333333
21	22.116666666666667	14.166666666666666
22	12.066666666666666	31.933333333333334
23		21.066666666666666
24		15.366666666666667
