,OxA,DMSO,d64,d65,d66,d67,d68,d69,d70,d71,d72,d73,d74,d75,d77,d78,d79,d80,d81,d82,d83,d84,d85,d86
Replicate 1,0.700661881,0.073832386,1.015008856,1.048941922,1.262981262,0.902395824,0.391535378,0.369161928,0.591777757,0.823715857,0.3702806,0.320686119,0.462011746,0.563438054,0.230073646,0.453062366,0.979957118,0.588048849,0.143190081,0.254684441,0.390416706,0.225226065,0.590286194,0.462011746
Replicate 2,1.613498648,0.085019111,0.462757528,1.106740002,0.825207421,0.894565116,0.796867717,0.602591591,0.766290668,0.816630931,0.36133122,0.486995432,0.663745688,0.689475156,0.247972406,0.442994313,0.84720798,0.600727137,0.242751934,0.288617507,0.390043815,0.202106833,0.542556167,0.573878997
Replicate 3,0.705136571,0.066001678,1.045958796,1.059382866,1.048941922,0.697678755,0.668220379,0.689102265,0.685000466,0.848326652,0.512352009,0.362449893,0.598116901,0.728255803,0.045492682,0.470588235,0.664864361,0.461638855,0.367670365,0.428824462,0.372145055,0.032441503,0.63764333,0.080917311
Replicate 4,0.980702899,0.052204717,0.378111308,1.066467792,0.715577515,0.467232218,0.775612939,0.798732171,0.607439172,0.705136571,0.473198471,0.500792393,0.627575277,0.646219819,0.260277804,0.415027501,0.616388552,0.610049408,0.041763774,0.372890836,0.247972406,0.243124825,0.465740654,0.019390323
Average,1,0.069264473,0.725459122,1.070383145,0.96317703,0.740467978,0.658059103,0.614896989,0.662627016,0.798452503,0.429290575,0.417730959,0.587862403,0.656847208,0.195954134,0.445418104,0.777104503,0.565116062,0.198844038,0.336254312,0.350144495,0.175724807,0.559056586,0.284049595
