	dmso-mut	drug-mut
0	263.57023047443806	268.48490051471896
1	268.9232272244932	235.46065942627084
2	405.348995794373	248.3523731583095
3	345.81100214234175	250.88711980346406
4	376.9036888948277	291.9682432139787
5	393.17376251037496	322.3137371774946
6	432.1609434769178	314.1363967918439
7	421.26185553751674	509.7386898909307
8	272.0522188760111	419.1450531663043
9	538.0000720989971	335.19997743757915
10	413.3396689189013	368.219623277404
11	720.3149842290258	469.85525774487553
12	462.7085640520973	431.71248780696453
13	403.4786193889965	379.6333714498101
14	476.2649886016685	383.2973309589592
15	378.887908733715	425.1579949991446
16	612.4696261113693	409.7475218965229
17	316.2679846960918	340.3371198619171
18	319.431472686795	352.9036767890435
19	323.4714244609635	506.05265684304135
20	531.7560612647684	
21	385.2174981092291	
