	dmso	drug
0	21.566666666666666	9.9
1	11.083333333333334	13.683333333333334
2	15.75	12.833333333333334
3	30.15	20.266666666666666
4	40.833333333333336	13.733333333333333
5	31.45	4.933333333333334
6	10.516666666666667	9.616666666666667
7	44.11666666666667	47.416666666666664
8	37.95	36.2
9	66.96666666666667	24.533333333333335
10	18.0	63.81666666666667
11	14.9	37.733333333333334
12	41.166666666666664	13.3
13	50.516666666666666	33.31666666666667
14	134.65	43.35
15	23.1	123.4
16	59.38333333333333	14.433333333333334
17	37.36666666666667	243.81666666666666
18	46.45	98.26666666666667
19	50.1	32.36666666666667
20	25.05	29.05
21	20.966666666666665	35.15
22	20.716666666666665	71.35
23	42.2	38.45
24		197.93333333333334
25		28.133333333333333
26		17.666666666666668
27		41.13333333333333
