	dmso-mut	drug-mut
0	197.51427138971522	131.7870819335608
1	206.2722703784916	210.20924515285847
2	240.70534189579087	248.57055459441702
3	351.05354958267594	161.079868319877
4	351.1362192789361	231.2761440333093
5	294.61666314803415	179.55627047508304
6	387.6452298301044	200.18249722485672
7	323.4008870360266	225.58765589547502
8	384.72628441843915	296.4080428169995
9	498.16196435685873	293.2340511309897
10	330.43338780885927	190.4648137447483
11	395.95996324690725	187.03421977830524
12	344.57950763354376	966.4579925175415
13	442.4482876599592	
14	351.8362974316095	
