	dmso-wt	drug-wt
0	201.4309685401207	197.22616122808031
1	193.3901743183642	155.9836496043556
2	199.15618324991814	158.68758310311975
3	245.09738344582343	171.81584074992327
4	208.33473623954103	208.28999391679088
5	198.4274626807532	191.20363472627596
6	348.49190295058935	232.40230742542442
7	329.4872533044843	185.47419230484735
8	232.3114573677543	220.23181954624872
9	206.4493821957994	223.07489317054197
10	153.74233333312736	274.37955648359986
11	181.49056138840464	178.58053083395149
12	163.01530305154228	192.30922490065316
13	192.24799811829678	229.38304961714232
14		321.93016736153663
15		195.89887404374042
16		247.1622547625993
17		202.35598240377112
18		209.92549936331443
19		203.5730198208169
