	dmso-wt	drug-wt
0	1.361920424693263	1.0505626414661584
1	1.4980204086330313	1.0017928168730343
2	1.3342017445749914	1.0983735824754726
3	1.3210492409628734	1.2224608428935166
4	1.2215163602484587	1.1516013209596239
5	1.3169129114599898	1.0982395706387877
6	1.5203966410682699	1.261298073136223
7	1.4470638904015014	1.1134207502476763
8	1.4950407883592478	1.2474124720009019
9	1.4412750554782723	1.2359015183978124
10	1.1708767395944986	1.3006335265866704
11	1.1370175861959522	1.298183894334519
12	1.2977156122732594	1.3559507179151595
13	1.357226423281979	1.2104864492649199
14		1.4164307946288914
15		1.2412731655735274
16		1.447675691322025
17		1.4125710831190548
18		1.2663733270968385
19		1.3074155878840283
