	dmso-wt	drug-wt
0	3.033333333333333	2.4833333333333334
1	4.716666666666667	3.683333333333333
2	2.6	2.183333333333333
3	2.4166666666666665	3.45
4	1.8166666666666667	4.366666666666666
5	1.85	2.1
6	4.033333333333333	3.8333333333333335
7	5.466666666666667	2.35
8	4.316666666666666	2.2333333333333334
9	4.733333333333333	2.55
10	4.166666666666667	4.066666666666666
11	3.3666666666666667	1.9
12	7.933333333333334	1.7166666666666666
13	8.033333333333333	1.8
14		2.8
15		3.0
16		2.4166666666666665
17		4.4
18		2.4833333333333334
19		2.466666666666667
