	dmso-wt	drug-wt
0	24748.08763796828	4899.713176159149
1	10453.776165195995	102489.13509266597
2	73689.29751798642	12230.808465145981
3	76746.57907816302	64247.65952666545
4	79367.9865028424	234632.07795291522
5	39796.2935511939	13870.306516393612
6	69454.92756338936	140630.1182076979
7	68805.30413391389	126678.79975083363
8	128040.34581285178	32834.69896064073
9	62501.81462510566	116745.41372693588
10	28789.52791133825	4403.387971337672
11	154785.55094626956	19144.785645888118
12	72056.16831355733	69909.02432824124
13	83095.13123140954	86010.55193297759
14	2850.153246270278	78063.3359189691
15	48421.156427066686	31713.90693139933
16	28963.385117378097	6226.047106476881
17	35059.104248904085	42732.41530215529
