	dmso-wt	drug-wt
0	203.27529685582877	201.2070668444394
1	187.75107636158378	193.79527641037794
2	205.1206344223868	185.24308552755483
3	241.7419789376069	171.87785947189082
4	208.3663481543822	210.7893856606445
5	292.42120483776904	202.44533281848067
6	218.06807285692744	183.58683001040458
7	271.04872874294966	198.84207023714697
8	265.75509756612627	256.89301237471153
9	226.7204677354448	227.38842765904963
10	224.99593331606476	237.28453259376357
11	284.94417356052315	219.22674981055206
12	215.41863630999507	208.64625824145375
13	231.50391334547245	207.86793878692296
14	219.73992931427483	206.5581479497429
15	218.76912366608656	235.55416929878646
16	206.92052883851304	226.2327995291574
17	210.7595998089497	237.02179985035514
