	dmso-wt	drug-wt
0	4209.916363527254	4695.4371257650755
1	2404.0502122938733	9164.783126498098
2	9629.528528921892	11534.016579044712
3	14109.15975456936	12977.346189168135
4	5616.137163114408	89236.72802916495
5	8796.779197925198	2418.9693452560036
6	5425.9734953446605	36864.369901566904
7	52523.29474086394	47775.980123345915
8	12416.560214428857	15451.48345108476
9	9098.87634469403	104806.01889907323
10	4686.093369882897	2417.878980868282
11	173008.2168839327	6031.671486449775
12	14749.338753984863	7168.055187028627
13	10942.245001331716	26881.990336479095
14	2327.0162798805077	6332.129304473288
15	5716.527387527835	12656.267950411475
16	4263.293572349544	3528.2165310614723
17	10247.06106954218	8573.106482843523
