ID,Catalog_ID,SMILES,Chemical_Formula,Ordered
PV-000555062637,Z9331482648,Cc1ccc(C)c(C(=O)N2[C@H]3CC[C@@H]2CN(C(=O)c2ccon2)CC3)c1,C20H23N3O3,1
PV-000574352410,Z9331482748,Cc1ccccc1CC(=O)N1CCOC[C@@H]1CNC(=O)c1cc2ccccc2o1,C23H24N2O4,1
PV-002221910629,Z9331482817,Cc1ccc(S(=O)(=O)N[C@H](C(=O)Nc2ccc3cncn3c2)C(C)C)cc1,C19H22N4O3S,1
PV-002353454027,Z9331482684,C[C@@](O)(CC(=O)Nc1c(-c2ccncc2)nc2ccccn12)c1ccccc1,C22H20N4O2,1
PV-002657363997,Z9331482734,Cc1cccc(OCC(=O)N[C@H]2CCCCN(C(=O)c3cn(C)c(=O)[nH]3)C2)c1,C20H26N4O4,1
PV-002738102521,Z9331482691,Cc1cn(C)cc1C(=O)N1[C@H]2CC[C@@H]1CN(C(=O)c1ccnnc1)CC2,C19H23N5O2,1
PV-002989324273,Z9331482753,Cc1ccccc1S(=O)(=O)N[C@@H](C(N)=O)c1ccc2ccccc2c1,C19H18N2O3S,0
PV-003064601637,Z9331482760,Cc1cc(C(=O)N[C@@H]2COC[C@@H]2NC(=O)C(C)(C)C)nc2ccccc12,C20H25N3O3,1
PV-003960018814,Z9331482764,CC(C)C1=NC([C@H]2C[C@@H]3CC[C@H](C2)S3(=O)=O)N(c2cccc(F)c2)N1,C18H24FN3O2S,1
PV-004156311929,Z9331482707,CC(C)(C)CS(=O)(=O)NC(=O)c1c(-c2ccccc2)nc2ncccn12,C18H20N4O3S,1
PV-004632151949,Z9331482688,Cc1cc(C)c(C(=O)N2[C@H]3CC[C@@H]2CN(C(=O)c2ccon2)CC3)cc1C,C21H25N3O3,1
PV-004968801968,Z9331482696,Cc1occc1C1=NC(/C=C\C(C)(C)C)N(c2ccccc2S(N)(=O)=O)N1,C19H24N4O3S,0
PV-005091654909,Z9331482713,CN1CCC[C@H]1C(=O)NC[C@H](NC(=O)c1nccn2nccc12)c1ccccc1,C21H24N6O2,1
PV-005143787306,Z9331482721,COCC[C@@]1(NC(=O)c2nccc3ccccc23)CCN(C(=O)[C@@H]2[C@@H](C)[C@H]2C)C1,C23H29N3O3,1
PV-005191963626,Z9331482738,CCCc1ccccc1C(=O)N1[C@H]2CC[C@@H]1CN(C(=O)c1nccnc1O)CC2,C22H26N4O3,1
PV-005396532185,Z9331482773,Cc1cc(C)c(CC(=O)N(C)C[C@@H]2CCCN2C(=O)c2ccc(C)nn2)c(C)c1,C23H30N4O2,1
PV-005932782926,Z9331482628,CCCc1ccccc1C(=O)N1C[C@@H]2C[C@@H](NC(=O)c3cccc(=O)[nH]3)[C@H]1C2,C22H25N3O3,1
PV-006204130375,Z9331482795,Cc1cnccc1S(=O)(=O)NCC(C)(c1ccccc1)c1ccccc1,C21H22N2O2S,1
PV-006254270889,Z9331482639,Cc1nn(C)cc1C(=O)N1CCCN(C(=O)c2cccc3cccnc23)[C@H](C)C1,C22H25N5O2,1
PV-006439055682,Z8531787886,O=C(NC[C@H](CO)Cc1cccnc1)c1cccc2c1oc1ccccc12,C22H20N2O3,1
PV-006512772507,Z9331482798,CC1(C)CCC[C@H]1C(=O)N1CCOC[C@H](NC(=O)c2cccc3ccccc23)C1,C24H30N2O3,1
Z1141296323,Z1141296323,CNS(=O)(=O)c1ccccc1CNCc1cc(OC)c(OC)cc1-c1ccccc1,C23H26N2O4S,1
Z1312379811,Z1312379811,Cc1ccc(C)c(S(=O)(=O)C2(C(=O)OCc3nc(-c4ccccn4)no3)CCCC2)c1,C22H23N3O5S,1
Z133963954,Z133963954,Cc1noc(C)c1S(=O)(=O)N(C)Cc1ccccc1N1CCCCC1,C18H25N3O3S,1
Z1393238519,Z1393238519,Cn1nc(C(=O)N(Cc2ccccc2)C[C@@H](O)c2cccs2)c2ccccc2c1=O,C23H21N3O3S,1
Z1410815299,Z1410815299,Cc1ccc(C)c(OCCC(=O)N(CC(N)=O)[C@H](C)c2ccccc2)c1,C21H26N2O3,1
Z1725521663,Z1725521663,COc1cccc(OC)c1S(=O)(=O)N(C)[C@H]1CCCN(Cc2noc(C)n2)C1,C18H26N4O5S,1
Z1738787391,Z1738787391,COc1ccc(C)cc1S(=O)(=O)N[C@H](c1ccccc1)C(C)(C)C(=O)O,C19H23NO5S,1
Z2169713547,Z2169713547,Cc1ccc(S(=O)(=O)NCC(=O)Nc2ccc3[nH]ccc3c2)cc1,C17H17N3O3S,1
Z3360656891,Z3360656891,C[C@@H](NC[C@H](O)Cc1ccc(F)cc1)c1c(Cl)nc2ccccn12,C18H19ClFN3O,1
Z3914924625,Z3914924625,CC(C)(C)C(O)(CNC(=O)[C@@H](CCS(C)(=O)=O)c1ccccc1)C(C)(C)C,C21H35NO4S,1
Z741186566,Z741186566,CC(C)c1ccc([C@@H](CNS(N)(=O)=O)N2CCc3sccc3C2)cc1,C18H25N3O2S2,1
Z854493106,Z854493106,CC(C)(C)NS(=O)(=O)c1ccccc1CNS(=O)(=O)c1cccc2cnccc12,C20H23N3O4S2,1
