	dmso-het	drug-het
0	4022.1376030670917	5433.4509498731395
1	2649.489280301513	5171.155174796598
2	4017.787841285449	6923.526736875235
3	7924.539782153792	3867.272015630228
4	7377.510477472204	2763.2281881373788
5	6430.987030103187	3061.5602341154854
6	2397.658734695553	5275.979418749776
7	2608.7171525924955	2811.503587811706
8	2328.010587867028	3974.8973191918676
9	10642.435620032289	3858.494588938857
10	5931.535904378449	4072.646288477718
11	3595.404674604507	
12	3349.734611443032	
13	4444.825143783473	
14	3671.9024845736744	
15	1972.0999202313396	
