	dmso-het	drug-het
0	405.48387096774195	507.8709677419355
1	603.0483870967741	332.5483870967742
2	612.6451612903226	551.6290322580645
3	587.2258064516129	648.7741935483871
4	425.33870967741933	629.7903225806451
5	572.8548387096774	660.1451612903226
6	852.9354838709677	442.6290322580645
7	816.0322580645161	507.7258064516129
8	897.516129032258	574.7258064516129
9	515.1612903225806	539.2903225806451
10	750.0645161290323	599.7258064516129
11	970.0	
12	804.4516129032259	
13	580.4354838709677	
14	581.9032258064516	
15	1085.5	
