	dmso-het	drug-het
0	192.35273344284934	191.02788819075658
1	191.25497035606205	203.56022710452675
2	188.12833779449664	224.5125794026848
3	171.04110911961294	203.85174177970478
4	198.16584362503028	207.14828005391686
5	198.5907309904631	216.0899934015703
6	191.75349979668096	236.2911692465647
7	185.75523855306093	227.83666069227397
8	179.97347852331131	226.6774726314903
9	191.93069364251693	194.76681066556588
10	199.31856908352108	243.52952226879194
11	224.36757534551504	
12	196.15495605296832	
13	204.17618035222569	
14	230.72083382420715	
15	213.78952443053362	
