	dmso-het	drug-het
0	2332.714285714286	2654.4285714285716
1	1611.5	1215.7142857142858
2	2420.4285714285716	1202.7142857142858
3	1244.2857142857142	2042.5714285714287
4	1577.857142857143	2459.0
5	1726.7857142857142	2645.4285714285716
6	2526.6428571428573	1467.7142857142858
7	2449.285714285714	1507.857142857143
8	2495.6428571428573	2065.1428571428573
9	1060.9285714285713	1451.7142857142858
10	1077.0714285714287	1480.2857142857142
11	1655.5	
12	2004.642857142857	
13	1389.0714285714287	
14	1182.642857142857	
15	2693.8571428571427	
