drug,day0night,day1night,day2night,day1day,day2day,night_avg,day_avg
d27_5uM,-0.702093725,-0.511831078,-0.471791039,-0.275113497,-0.086254777,-0.56190528,-0.180684137
TCS-1102,0.49259769591190394,0.4952141768855384,0.5142370989676227,0.250428387,0.9814627042520191,0.5006829905883551,0.6159455456105756
clear,1.0754913445968832,0.9337435995542006,1.0848743351638097,1.1394098742736727,0.977454117,1.0313697597716311,1.0584319954225818
d24,0.2860573598216027,0.281544424,0.027604267,0.22215754660990086,0.094804041,0.1984020170223457,0.15848079394633868
clear,2.4208771385439767,1.600920589332065,1.052944880344057,1.4659381319330438,1.157429733053666,1.6915808694066996,1.311683932493355
d41,0.093912341,0.6264877688030779,0.8520502839293911,0.066915953,0.2200239749218795,0.5241501311510445,0.1434699640613537
d38,0.4624842336540634,-0.606088142,-0.60187812,-0.658008298,-0.824642909,-0.24849401,-0.741325603
d32,0.49965306405218507,0.083731093,-0.264816158,0.1544403650031015,-0.344922731,0.10618933307109774,-0.095241183
clear,1.1284436542592113,0.7574175022570286,0.49260986779291754,1.2344238053598493,0.7999149981408901,0.7928236747697192,1.0171694017503696
clear,0.6448336750800986,-0.114339192,-0.295600713,-0.079923441,0.22341976169868852,0.078297924,0.07174816
clear,-0.142337007,0.094350582,0.3056791794448474,0.091664477,-0.536567369,0.085897585,-0.222451446
clear,0.49923261839406863,-0.027519411,-0.030977206,0.009219666,-0.299147621,0.14691200040911823,-0.144963977
clear,-0.261068183,0.14939871662492998,1.0245468701492473,0.39936067998421243,0.4900681802253643,0.30429246789326564,0.4447144301047884
clear,0.7191745029268157,0.38653153136700924,0.8940375066009647,0.3337189334376497,0.034115091598972636,0.6665811802982632,0.18391701251831116
clear,-1.575438702,-1.466035019,-1.503500529,-1.461970626,-1.010995179,-1.514991417,-1.236482902
clear,-0.604343547,-0.573535509,-0.975600943,-0.102620395,-0.229743307,-0.717826666,-0.166181851
clear,0.2333098535486884,0.9423919353963838,0.9286331005974574,0.5151440677605027,0.6895539663425101,0.7014449631808432,0.6023490170515065
clear,0.6772105013977021,0.29688251031391855,0.987266876,0.13162549016504035,0.40339253983278045,0.6537866293025355,0.2675090149989104
clear,0.009089527,-0.744003611,-0.318328579,-0.641224216,-0.36256888,-0.351080888,-0.501896548
clear,-0.037378917,-0.217429796,-0.231350611,-0.150919842,-0.375738023,-0.162053108,-0.263328933
clear,0.234856349,-0.229765327,0.8075130756551836,-0.144559069,0.070246012,0.27086803234468826,-0.037156529
clear,0.28513046782781865,0.2796130693142618,-0.171188272,0.3158264676788457,0.044188131009755084,0.13118508844814414,0.1800072993443004
clear,0.408508326,0.18580543100399383,-0.13853704,0.3931256763532195,-0.291488453,0.1519255722505176,0.050818612
clear,0.34562256061421964,0.021280295436241214,-0.277996242,0.16687768874201614,-0.357630591,0.029635537923456506,-0.095376451
clear,-0.136379136,-0.28230337,-0.291263472,-0.39489278,-0.176190616,-0.236648659,-0.285541698
clear,-0.290154274,-0.602210928,-0.077344314,-0.121986027,-1.444671948,-0.323236505,-0.783328987
clear,0.8578468850174877,-0.183160185,0.3720211601226953,0.4045873485876507,0.13934007467688742,0.34890262001383693,0.27196371163226907
clear,0.7873863836657018,-0.065571686,0.1300481705500364,-0.133072257,-0.896030885,0.28395428953746543,-0.514551571
clear,0.9799835238570619,0.7190191332717234,0.3147575563647377,0.44505923292489297,0.8474234585003028,0.671253404,0.6462413457125978
clear,0.5161737310118885,-0.064236852,-0.65013547,-0.195352121,-0.352373197,-0.066066197,-0.273862659
clear,-0.479040455,-0.784302514,-1.010457455,-0.959577526,-0.941970951,-0.757933475,-0.950774239
clear,-0.397151235,-0.509018354,-0.666414093,-0.111566325,-0.018173683,-0.524194561,-0.064870004
TCS-OX2-29,0.3221792643994173,0.5758850583905754,0.36684041905472087,0.16989248037143073,-0.101639996,0.4216349139482379,0.034126242
OR2RA,0.6145473554770766,-0.099612921,0.17189401331648999,0.343761823,-0.043352883,0.2289428160826463,0.15020446998915743
d34,0.1946034625484608,-0.446245363,0.028287036,0.20634984956960298,0.4335132103028453,-0.074451622,0.31993152993622415
d40,-0.219117229,-0.353314772,-0.339117293,-0.182444016,-0.052338668,-0.303849765,-0.117391342
d48,0.043278771169800306,-0.69763126,-0.229231361,0.2736957459118175,0.20174341633057272,-0.29452795,0.23771958112119512
d42,0.051290532,0.093028933,0.2960686656279068,0.5180967158609763,0.666689328,0.14679604367382437,0.5923930217322056
d35,-0.557135846,-0.623663795,-0.233637746,-0.18291044,-0.10593066,-0.471479129,-0.14442055
d23,0.22587827409888242,-0.19246885,-0.042083354,0.37563809038727985,0.4765323562372088,-0.00289131,0.4260852233122443
d29,0.24382233965345643,0.10200266018683782,0.24386436793551464,0.5504394947151285,0.23983059257997044,0.19656312259193628,0.3951350436475495
d14,1.0716041786128756,1.856345266300484,1.4900829263874955,1.2934462430520333,0.7572545530033667,1.472677457100285,1.0253503980277001
clear,0.7307638714256262,-0.174200738,-0.135925809,0.17485002009260453,0.2266079726414248,0.14021244151509746,0.20072899636701466
d54,0.6599946718521775,0.26083984082907924,0.3255416527364517,0.5687917562646183,0.3876189501149203,0.41545872180590276,0.4782053531897693
d47,0.4327146328585493,0.5992547385101804,0.6098434152686304,0.6128509359937733,0.814309567,0.547270929,0.7135802513879486
d49,0.6689577226806699,-0.522505175,-0.49621802,0.28031001740947853,-0.057746735,-0.116588491,0.11128164105531747
d52,0.7114984069611519,0.7110791874522081,0.5684995317881534,0.8763090941407711,0.6756626146038376,0.6636923754005044,0.7759858543723044
d53,-0.216434859,0.321924336,-0.302106477,-0.093721469,0.15856824977995163,-0.065539,0.03242339
clear,0.4420246290978634,0.18714383038284965,0.4297705203005152,0.3650234818764673,0.3701411712220103,0.35297965992707603,0.36758232654923884
clear,0.37131501263528394,0.11718643581459955,-0.043941805,0.3247230761117394,0.18421263732698478,0.14818654790603805,0.2544678567193621
clear,-0.189946841,-0.218845831,0.23427537276087648,-0.364218776,-0.13104281,-0.058172433,-0.247630793
clear,-0.50683594,-0.136490147,0.25061572762581025,0.033738634,0.3173432120246588,-0.130903453,0.17554092310410221
clear,0.4965486932723563,-0.115784341,-0.05592909,-0.217907957,-0.272196028,0.10827842056701724,-0.245051993
d27,0.7740914312411086,0.7801598042049284,0.6595233035944937,0.6446714834131989,0.40046922727037193,0.7379248463468436,0.5225703553417854
Seltorexant,0.7719474925036846,0.6325727976154073,0.5155807375235851,0.49786401943968345,0.6534482678189814,0.6400336758808923,0.5756561436293324
TAK-861,1.1215250892875412,0.5701764451435694,0.44935557922798364,0.4310239733258802,0.3868502408255005,0.7136857045530314,0.40893710707569036
SB-674042,1.0135000568953043,0.7422993939473909,0.6740339461862934,0.6669721253330592,0.6394655101765889,0.8099444656763296,0.653218818
clear,-0.044047254,-0.283079003,-0.423704531,-0.316613218,-0.185836218,-0.250276929,-0.251224718
clear,0.49891401303286487,-0.014947577,0.13527669393215702,0.045460755,0.23661889232481634,0.2064143765648531,0.1410398236576342
clear,1.2484290875998965,0.3476086195237087,0.19563958423286376,0.44717100581213903,0.7000365168558335,0.5972257637854896,0.5736037613339863
clear,0.4745467988952449,0.20021052630777406,0.24227716643778346,0.4865945657370899,0.782814096,0.3056781638802675,0.6347043308154745
clear,-1.277346066,-0.651417909,-0.558600483,-0.819101144,-0.989760704,-0.829121486,-0.904430924
clear,0.14802255296703323,0.2729414812005561,0.13308072160988688,0.3557423364029326,-0.09950575,0.1846815852591587,0.12811829327578156
