drug,day0night,day1night,day2night,day1day,day2day,night_avg,day_avg
clear,1.6843762297257863,1.1081825571910684,0.9756982658988165,0.5360892781173172,1.572686594459939,1.2560856842718904,1.0543879362886281
clear,1.5949102965458066,0.6796290671666521,1.4775580938246866,0.7143470291309174,1.649555792111293,1.2506991525123816,1.1819514106211053
clear,0.16106941858413584,-0.458461903,-0.141712581,0.14200253872736607,0.005614265,-0.146368355,0.073808402
clear,-0.096028086,-0.061125129,-0.426007128,0.023038874,0.067518287,-0.194386781,0.045278581
clear,3.443264053548974,1.2377498959866748,1.0739490428305378,-0.222186329,0.9299637467573224,1.9183209974553954,0.35388870902763064
clear,-0.233246753,-0.198388053,0.2558206831380748,-0.277771947,0.1701056284986483,-0.058604708,-0.053833159
clear,-0.418219114,0.048147829,-0.018320925,-0.325205642,-0.383397717,-0.12946407,-0.354301679
clear,-0.345942251,0.031534052,0.084574697,-0.232210848,-0.286562633,-0.076611168,-0.259386741
clear,-0.361130314,0.3243560041648203,0.23910401655392918,-0.190392675,-0.60287278,0.067443236,-0.396632728
clear,0.9344419721835101,0.4550406561518946,0.030404745911016124,-0.970807466,-1.540382643,0.4732957914154736,-1.255595055
clear,0.066672593,-0.557967438,-0.412373269,-0.082554019,-0.617818499,-0.301222705,-0.350186259
clear,0.34049202598514017,-0.124317352,0.056331435508385486,-1.638073703,-1.088392575,0.09083537,-1.363233139
clear,-0.053183207,-0.096583645,0.1102343367295799,0.9733647081895607,0.9361890052139104,-0.013177505,0.9547768567017355
clear,-0.156154809,-0.176086125,-0.105620755,-0.22642106,0.16390520557443092,-0.145953896,-0.031257927
clear,0.2285766348105597,0.4825527486378197,0.9105678844172621,-1.693912878,-0.477327734,0.5405657559552138,-1.085620306
clear,-0.06638422,-0.453585626,-0.495525507,-0.335258775,-0.037328774,-0.338498451,-0.186293775
TCS-OX2-29,-0.069274224,-0.078217804,-0.05224128,0.069938411,-0.489011171,-0.066577769,-0.20953638
OR2RA,-0.172925624,-0.245946014,-0.017045903,-0.233789323,-0.025896516,-0.145305847,-0.12984292
d34,0.1622938166813331,0.018376553969467507,-1.02787159,-0.005504765,0.13710808227170895,-0.282400406,0.065801659
d40,-0.002132112,-0.324965811,0.3966585180795767,0.084054668,-0.126666577,0.023186865189541977,-0.021305954
d48,-0.310603419,-0.185161518,0.2119034261173139,0.090939932,-0.431561297,-0.094620504,-0.170310683
d42,-0.458812774,-0.267079012,-0.300369085,-0.211686474,0.2596553038116304,-0.342086957,0.023984414989854014
d35,-0.155932201,-0.056979121,0.019163766169867417,-0.263134691,0.2784100133192502,-0.064582518,0.007637661
d23,-0.042300996,-0.485047205,-0.921009592,-0.664562667,-0.111863279,-0.482785931,-0.388212973
d29,-0.350576026,-0.099526401,-0.206538792,0.33624624924047575,-0.107202561,-0.218880406,0.11452184393572562
d14,-0.022487794,-0.460003898,-0.630993445,-0.29258596,-0.389670351,-0.371161712,-0.341128155
clear,-0.092198918,-0.396184501,-0.687363752,-0.295988653,0.29889499357249716,-0.391915724,0.00145317
d54,-0.370373848,-0.290871689,-0.314114895,0.19619905465807083,0.029810384063818487,-0.325120144,0.11300471936094467
d47,-0.901180536,-0.591336086,-1.047987423,-0.145300903,-0.526589877,-0.846834682,-0.33594539
d49,0.5792125346765638,0.13801509394044112,-0.097520018,-0.266498943,0.025643932044432452,0.20656920368347165,-0.120427505
d52,-0.35082454,-0.76804892,-0.721585038,-0.086777318,-0.24919676,-0.613486166,-0.167987039
d53,-0.442292143,-0.104535512,-0.200048161,-0.37969238,-0.348822417,-0.248958605,-0.364257398
clear,0.22168534469672763,0.018157549,-0.181792086,0.087795283,0.028681303292995786,0.019350269373668783,0.058238293
clear,-0.444640483,-0.252985038,0.093951983,-0.52938762,-0.37645442,-0.201224513,-0.45292102
clear,0.3796086356976295,0.21715218216393262,0.22007221353408135,0.11525243174767821,-0.060382552,0.27227767713188117,0.027434940050836142
clear,0.6638400523021589,0.1693683276137572,0.38284093999515484,0.5325928035652051,0.26981348445322234,0.4053497733036903,0.40120314400921375
clear,-0.129596312,0.068350946,-0.386312045,-0.41849903,-0.375703554,-0.149185804,-0.397101292
d27,-0.638127696,0.4264590281841335,0.128389473,-0.352048942,-0.676366957,-0.027759732,-0.514207949
Seltorexant,0.11719097181737079,-0.335896917,-0.26784346,0.4635757938892785,0.1737725061380262,-0.162183135,0.31867415001365235
TAK-861,-1.234192703,-0.346261629,-0.326623728,0.12824411942665714,-0.147864791,-0.635692687,-0.009810336
SB-674042,0.057495941,1.7286594124062882,0.6413723756441958,-1.615842402,-0.158074832,0.8091759097207571,-0.886958617
clear,-0.135418521,-0.30574442,-0.610375318,-0.182375065,0.030774044500905425,-0.350512753,-0.07580051
clear,-0.520785383,-0.239027932,-0.32307595,-0.391202216,-0.045804496,-0.360963088,-0.218503356
clear,-0.413740984,-0.851379578,-1.0608947,-0.294428757,-0.24138017,-0.775338421,-0.267904463
clear,-0.440789362,-0.193995068,0.015664467,-0.284555872,-0.107087866,-0.206373321,-0.195821869
clear,0.600433347,0.16833818211438556,-0.185425091,0.093706851,0.23750555629090545,0.1944488125354155,0.16560620361337164
clear,-0.003476922,0.15797448370626724,0.1904438913884248,-0.091261288,0.23376361060726686,0.11498048422656267,0.071251161
