drug,day0night,day1night,day2night,day1day,day2day,night_avg,day_avg
d27_5uM,-0.177260874,-0.280080918,0.2007344150083739,0.20543632515312646,0.13493051923334595,-0.085535792,0.1701834221932362
clear,-0.785129676,-0.406430217,-0.428770833,-0.342438618,0.024832781345145237,-0.540110242,-0.158802919
TCS-1102,-0.485380867,-0.340657172,0.24185308079106943,0.3386055622675787,0.2991453899808366,-0.194728319,0.31887547612420764
SB-674042,0.7053707402829743,1.382950948220137,1.163373602438439,-2.026036294,-1.107018437,1.08389843,-1.566527365
d24,-0.50086516,0.26306608169869594,0.3965857080560817,-0.372484074,-0.424576366,0.052928877,-0.39853022
clear,-0.266897261,-0.283660718,-0.300888465,-0.702827818,-0.480893339,-0.283815481,-0.591860579
d41,-0.261742114,0.31390051177893047,0.4773411694249391,0.40546564663231915,0.29373626881740056,0.17649985575281102,0.3496009577248599
d38,-0.798442562,-0.167743503,-0.070464883,-1.232437719,-0.364316381,-0.345550316,-0.79837705
d32,-0.777607009,-0.081735641,-0.877833834,-1.222719725,-1.950161533,-0.579058828,-1.586440629
clear,-0.378329073,-0.088553439,-0.103454471,0.21605792283956096,-0.21105751,-0.190112328,0.002500207
clear,-0.248653401,-0.480154478,-0.748278283,-0.898370904,-0.921057625,-0.492362054,-0.909714264
clear,-0.086294964,0.077654277,0.1950396099211698,-0.367917757,-0.340798898,0.062132975,-0.354358328
clear,-0.272968531,-0.163173616,-0.610588546,-1.364060501,-1.141032158,-0.348910231,-1.252546329
clear,-0.065491881,0.017769005,0.3574184995050348,0.6530217624911228,0.4052405718639403,0.10323187452489559,0.5291311671775315
clear,-0.293800981,-0.347348056,-0.2214195,-0.239550538,-0.258315571,-0.287522846,-0.248933055
clear,-0.002036559,0.13232183152914906,-0.272136629,-1.005402515,-0.69517541,-0.047283785,-0.850288963
clear,-1.824974348,-1.541332639,-2.673530035,0.4338424047967187,-0.545515081,-2.013279007,-0.055836338
