	dmso-mut	drug-mut
0	235.5448834051628	172.51155267831746
1	158.16378270935363	232.73942002487806
2	160.50449737736514	176.65661426434693
3	174.2288109275079	159.87093275005162
4	174.2683870702306	193.38819626612013
5	335.5793359158254	256.90056458231874
6	194.65023994442114	388.2484059986931
7	189.0434781199212	192.33503237830197
8	241.90851653469005	195.18567329728774
9	256.976724799179	184.20015285743978
10	236.04776229316224	265.72554116330525
11	188.21966467597258	263.19215402927625
12		194.25290492626655
