EMPA,replicate1,replicate2,replicate3,replicate4
1.00E-04,13520,13600,11240,13480
1.00E-05,3680,3200,10640,2120
1.00E-06,8800,2960,13200,13920
1.00E-07,33800,52320,89720,16800
1.00E-08,140440,124760,49160,99960
1.00E-09,40720,63320,68960,141480
