d27,replicate1,replicate2,replicate3,replicate4
1.00E-04,1280,920,880,2280
1.00E-05,31320,32680,22440,21160
1.00E-06,100520,42320,46080,51120
1.00E-07,47600,26640,39480,45040
1.00E-08,135680,87280,47360,69760
1.00E-09,111600,59760,33160,16920
