	dmso-mut	drug-mut
0	171.59473121907334	245.73864416180828
1	207.9406251299566	328.44241160436803
2	270.8683087003334	198.5156945431932
3	226.6187913836655	204.46030324045688
4	283.2395610480654	240.27993399970404
5	155.4781807343104	327.72237911070255
6	189.9446101114411	293.42516449055785
7	240.4386625149437	312.26870741790617
8	444.91513383968015	276.33402819909657
9	391.1218846829368	217.64155007919035
10	464.3956850533981	222.85581278262922
11	359.50252881105547	270.17738795826733
12	400.4085540169189	375.7291692080047
13	254.1950803575216	471.86956703902723
14	355.9125418266075	407.1327260422576
15	485.37503950326874	
