	dmso-mut	drug-mut
0	400.5846153846154	634.2
1	715.5384615384615	548.1076923076923
2	655.7846153846153	729.2615384615384
3	313.26153846153846	424.0615384615385
4	430.3076923076923	400.7076923076923
5	1121.6923076923076	1124.0307692307692
6	738.9538461538461	747.7384615384616
7	1559.3384615384616	506.8615384615385
8	770.3538461538461	643.2461538461539
9	612.0923076923077	165.47692307692307
10	790.1692307692308	665.5692307692308
11	651.4923076923077	1034.0
12	950.5076923076923	832.6615384615385
13	377.10769230769233	803.1384615384616
14	540.9538461538461	436.9846153846154
15	724.3846153846154	
