ID,Catalog_ID,SMILES,Chemical_Formula,Ordered
PV-006700551673,Z9331482485,Cc1cccc(C)c1C(=O)N[C@H]1COC[C@H]1NC(=O)C1(C)Cc2ccccc2C1,C24H28N2O3,1
PV-006706116130,Z9331482607,Cc1ccc2c(C(=O)N[C@H]3COC[C@H]3NC(=O)[C@H]3OCCO[C@H]3C)n[nH]c2c1,C19H24N4O5,1
PV-006707508242,Z9331482559,Cc1cccc(C(=O)N2CC[C@](O)(CNC(=O)[C@@H]3CCCc4ccccc43)C2)c1,C24H28N2O3,1
PV-006708627569,Z9331482488,Cc1cccc2[nH]c(C(=O)NC3(CNC(=O)c4ncccc4O)CCCC3)cc12,C22H24N4O3,0
PV-006710095262,Z9331482494,C[C@@H]1CN(C(=O)CCc2ccc3ccccc3c2O)CCN1C(=O)c1cc[nH]n1,C22H24N4O3,1
Z1316825222,Z1316825222,Cc1nc(S(=O)(=O)N[C@H](c2ccccc2)c2nc3ccccc3n2C)sc1C,C20H20N4O2S2,1
Z1679037537,Z1679037537,COc1ccccc1CS(=O)(=O)NC(=O)CC(c1ccccc1)c1ccccc1,C23H23NO4S,1
Z1889784112,Z1889784112,CC(C)(C)OC(=O)CC[C@@H](NC(=O)Cc1cccc2ccccc12)C(=O)O,C21H25NO5,0
Z2017261328,Z2017261328,COc1ccc(S(C)(=O)=O)cc1S(=O)(=O)NCc1cccc(N(C)C)c1,C17H22N2O5S2,1
Z3878403833,Z3878403833,CC(C)(C)OC(=O)CC[C@H](O)CN1CC[C@](O)(c2cccc(F)c2)C1,C19H28FNO4,1
Z4308074781,Z4308074781,Cc1ccc2c(c1)N[C@@H](C(=O)N(Cc1ccccc1)[C@H](C)CO)NS2(=O)=O,C19H23N3O4S,1
Z4575777865,Z4575777865,CC(C)S(=O)(=O)[C@H](C)C(=O)N1CC[C@H](c2ccccc2)C[C@@H]1C(=O)O,C18H25NO5S,0
Z5052318887,Z5052318887,Cc1ccccc1CCC(=O)N1C[C@@H]2[C@](c3ccccc3)(C1)CS2(=O)=O,C21H23NO3S,1
