Time Stamp:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
9/5/2025 10:00,10,0,0,0,0,11.89,0.11,0.39,0
9/5/2025 11:00,11,3.33,0.22,0.44,4.78,9.61,0,3.22,5.28
9/5/2025 12:00,12,6.67,2.67,6.44,2.11,15.39,3.67,5.44,7.28
9/5/2025 13:00,13,7.44,6.44,6.78,11.61,12.5,6.44,4.67,7.17
9/5/2025 14:00,14,4.17,2.33,5.67,4.61,8.11,7.61,5.28,7.11
9/5/2025 15:00,15,9.5,6.39,8.72,6.83,12.39,4.83,8.44,5.39
9/5/2025 16:00,16,6.44,5.28,4.83,4.72,8.83,4.56,1.94,5.28
9/5/2025 17:00,17,6.67,7.33,4.33,7.61,14.61,6.11,6.39,1.61
9/5/2025 18:00,18,6.72,3,8.83,2.11,12.67,9.61,4.44,8.39
9/5/2025 19:00,19,7.83,2.78,10,5.67,12.61,8.94,6.61,10.56
9/5/2025 20:00,20,2,1.06,1.72,1.61,10.17,1.78,3.5,2.33
9/5/2025 21:00,21,2.11,0.28,0.89,1.33,0,0.06,0.83,0.06
9/5/2025 22:00,22,5.33,1.89,9.89,7,1.44,0.06,5.72,0.33
9/5/2025 23:00,23,10.33,0.89,3.83,1.94,6.39,2.06,4.22,0.33
9/6/2025 0:00,24,5.44,5.06,2.11,5.22,2.17,8.28,3.33,6.5
9/6/2025 1:00,25,1.06,5.33,3.89,0.83,8.22,4.5,2.39,3.56
9/6/2025 2:00,26,1.56,0.89,1.78,4.17,11.83,2.67,1.28,1.17
9/6/2025 3:00,27,7.94,2.61,3.11,3.61,1.11,3.56,6.06,6.44
9/6/2025 4:00,28,2.33,8.11,0.72,4.94,1.83,1.5,0.33,12.78
9/6/2025 5:00,29,5.39,5.28,4.39,7.22,0.94,6.22,3.44,12.44
9/6/2025 6:00,30,4.78,9.44,7.61,4,3.56,6.28,4.33,8.06
9/6/2025 7:00,31,8.33,2.5,1.17,10.56,10.06,4.56,5.94,2.83
9/6/2025 8:00,32,7.39,1.78,7.89,6.33,7.28,8.94,4.22,0.83
9/6/2025 9:00,33,4.5,4.56,2.28,3.61,7.89,2.39,2.83,6.17
9/6/2025 10:00,34,7.67,6.72,8.17,8.61,8.67,4.5,4.39,6.67
9/6/2025 11:00,35,5.11,8.17,4.44,2.22,5.06,5.61,4.83,2.72
9/6/2025 12:00,36,5.11,3.17,4.11,1.22,8.67,5.94,5.5,7.44
9/6/2025 13:00,37,6.56,4.78,5.17,3.11,3.17,6.61,5.22,8.11
9/6/2025 14:00,38,8.89,2.17,9.44,1.72,8.56,2.56,4.78,5.06
9/6/2025 15:00,39,6.67,5.72,7.06,1.28,3.78,2.61,7.22,5.67
9/6/2025 16:00,40,4.11,4.94,3.17,1,3.72,3.11,7.44,1.17
9/6/2025 17:00,41,4.83,3.61,7.39,6.61,13.89,2.72,4.33,8.44
9/6/2025 18:00,42,8.5,4.22,4.72,3.22,9.67,3.78,5.72,2.56
9/6/2025 19:00,43,11.78,4.67,4.94,4.06,8.17,8.61,4.78,5.56
9/6/2025 20:00,44,1.5,1,3.5,3.61,1.5,0,0.67,2.72
9/6/2025 21:00,45,1.06,1.17,0.44,5.72,1,0.17,1.67,0
9/6/2025 22:00,46,1.61,0.72,0.17,3.83,3.06,0.83,1.06,1.22
9/6/2025 23:00,47,5.5,1.22,0.11,4.11,7.17,1.11,0.89,7.33
9/7/2025 0:00,48,7.89,2.5,1.56,9.89,9.67,7.28,6.89,3.72
9/7/2025 1:00,49,5.72,2.67,7.44,4.5,7.28,3.22,6.39,2.11
9/7/2025 2:00,50,3.94,1.33,6,3,3.28,2.67,2.83,6.56
9/7/2025 3:00,51,4.89,2.28,1.5,3.83,6.61,1.89,2.5,1
9/7/2025 4:00,52,3.39,3.22,4.17,5.61,7.89,0.78,2.28,1.22
9/7/2025 5:00,53,5.89,5.28,6.56,6.72,8.5,7,4.72,9
9/7/2025 6:00,54,5.28,4.33,3.83,10.11,7.44,5.28,1.22,8.5
9/7/2025 7:00,55,2.28,5.78,4.22,4.89,5.61,5.22,3.61,1.17
9/7/2025 8:00,56,7.06,0.61,1.67,1.33,5.17,1.94,2.89,3.44
9/7/2025 9:00,57,11.94,3.94,6.39,5.28,13.17,3.44,6.39,5.78
9/7/2025 10:00,58,11.83,5.78,9.17,4.72,8.83,2,5.11,1.17
9/7/2025 11:00,59,12.22,6.89,11.33,5.33,3.39,3.06,2,4.44
9/7/2025 12:00,60,6.11,4.11,8.5,8,6.06,1.61,8.5,6.67
9/7/2025 13:00,61,9,5.5,9.61,8.28,10.5,3.33,5.17,10.83
9/7/2025 14:00,62,13.67,6.22,9.22,7.5,7.39,1.11,5.39,7.22
9/7/2025 15:00,63,9.39,6.06,5.44,4.33,7.61,4.61,9.44,4
9/7/2025 16:00,64,8.94,2.56,8.44,7.5,11.17,3.28,7.94,5.44
9/7/2025 17:00,65,15.22,5.33,4.5,1.61,5.94,2.06,5.33,2.28
9/7/2025 18:00,66,9.06,4.44,10.72,5.83,10.28,2.83,7.83,5.06
9/7/2025 19:00,67,6.61,5.22,9.22,3.17,5.22,2.5,7.72,8.44
9/7/2025 20:00,68,1,3.44,1.72,0.17,4.56,2.5,2,2.28
9/7/2025 21:00,69,0.94,2.56,1,0.67,0.5,0.28,1.5,2.89
9/7/2025 22:00,70,8.28,2.56,2.17,1.11,0.61,0.5,1.17,0.56
9/7/2025 23:00,71,7.83,1.83,2.61,5.22,5.11,3.06,5.56,4.67
9/8/2025 0:00,72,2.72,2.06,2.89,6.78,4.28,1.11,7.28,9.78
9/8/2025 1:00,73,5.39,5.67,9.61,3.11,2.67,0.33,9,5.61
9/8/2025 2:00,74,6,5.17,3.83,7.83,2,3.72,7.78,9.5
9/8/2025 3:00,75,9,3.28,5.61,4.22,3.94,0.28,5,6.39
9/8/2025 4:00,76,3.56,4.72,5.22,1.94,3.83,0.28,2.56,0.67
9/8/2025 5:00,77,7.17,4.78,1.28,3.94,2.5,2.22,1.39,1
9/8/2025 6:00,78,12.61,3.78,4.61,6.56,2.39,3.17,2.06,2.22
9/8/2025 7:00,79,4.22,3.06,2.72,7.17,3.61,3.11,4.44,7.39
9/8/2025 8:00,80,4.72,0.83,3.78,3.61,3.72,5.06,5.11,3.5
9/8/2025 9:00,81,6.22,2.67,7.44,7.5,5.28,3.28,4.11,8.83
