,Start Time: ,2025-09-05 19:00:00, End Time:,2025-09-08 14:00:00,,,,
Mouse IDs: ,F1,F2,F3,F4,F5,F6,F7,F8
2025-09-05 19:00:00,0.97,0.18,1.91,0.89,5.79,4.19,3.49,2.53
2025-09-05 19:01:00,0.96,0.9,1.58,0,6,5.62,4.29,3.42
2025-09-05 19:02:00,0.98,0,0.39,0,5.97,4.51,4.64,0.14
2025-09-05 19:03:00,2.43,0.6,2.34,0.24,6,5.64,5.35,0.53
2025-09-05 19:04:00,1.36,1.66,0.89,0,6,5.31,5.94,0.2
2025-09-05 19:05:00,0.5,2.1,0.25,0.83,6,0.73,5.53,0
2025-09-05 19:06:00,0.48,0.12,0,0,5.85,0.74,6,1.09
2025-09-05 19:07:00,1.55,0.28,0,0,6,0.48,6,0.27
2025-09-05 19:08:00,0.08,0,0.57,2.05,6,0.79,4.9,2.74
2025-09-05 19:09:00,0,0,0,2.51,4.9,0,5,5.36
2025-09-05 19:10:00,0,0,0,2.38,0.8,1.72,4.16,0.98
2025-09-05 19:11:00,4.18,0.31,0,3.75,0,0.34,5.8,0.49
2025-09-05 19:12:00,5.9,0.14,0,5.5,1.94,0,5.25,0.28
2025-09-05 19:13:00,6,0,0.17,5.6,0.75,0.02,5.67,0
2025-09-05 19:14:00,6,0.03,0.03,5.98,0,0.14,1.58,0.71
2025-09-05 19:15:00,6,0.81,0,5.93,0.59,4.61,0,0
2025-09-05 19:16:00,5.75,0.41,0,4.84,0,2.1,1.43,0
2025-09-05 19:17:00,5.01,0.62,0.17,2.69,0.43,2.95,0.74,0.04
2025-09-05 19:18:00,5.17,0,0,2.68,0,5.93,0,1.8
2025-09-05 19:19:00,5.78,0,0.17,0.9,0,3.18,1.4,0.3
2025-09-05 19:20:00,5.72,0.24,0.05,1.09,0,0.91,0.73,0.15
2025-09-05 19:21:00,5.11,0.43,0,1.62,0.78,0,0,2.57
2025-09-05 19:22:00,0,4.27,0.16,2.1,0.44,0.61,0.68,5.14
2025-09-05 19:23:00,0.68,4.97,2.38,3.23,2.04,0,0.48,3.1
2025-09-05 19:24:00,2.32,4.09,0.75,4.14,0.55,0,0.44,4.47
2025-09-05 19:25:00,0,4.1,1.49,5.56,0,0,0.41,5.17
2025-09-05 19:26:00,3.28,2.72,2.4,6,0,0.68,0,3.65
2025-09-05 19:27:00,5.72,3.02,4.31,6,1.67,0,1.05,2.41
2025-09-05 19:28:00,5.45,2.36,4.94,6,1.78,0,4.86,3.13
2025-09-05 19:29:00,5.69,3.82,3.84,4.6,0,0.96,5.03,2.13
2025-09-05 19:30:00,5.99,5.12,5.09,5.12,0.28,1.38,4.5,1.81
2025-09-05 19:31:00,5.37,5.58,3.71,5.56,1,0.32,4.15,4.61
2025-09-05 19:32:00,4.87,3.03,4.37,5.94,1.6,0.08,1.97,4.21
2025-09-05 19:33:00,3.15,1.39,1.22,6,0.31,1.47,0.51,2.31
2025-09-05 19:34:00,3.68,3.86,1.82,6,0.96,0.3,0.4,2.49
2025-09-05 19:35:00,2.38,4.55,1.09,6,0.2,0,0,5.55
2025-09-05 19:36:00,0.72,4.48,1.79,4.19,0.84,0,1.08,4.01
2025-09-05 19:37:00,0.9,2.22,2.12,4.8,2.65,0.47,0.4,0.42
2025-09-05 19:38:00,0.45,0.37,1.1,6,0.14,0.26,0,0.98
2025-09-05 19:39:00,2.15,0.62,5.99,6,1.64,4.96,0.84,0.3
2025-09-05 19:40:00,2.55,0.51,5.15,6,4.37,3.78,0,0.27
2025-09-05 19:41:00,5.72,0,5.58,5.63,4.51,5.88,0.71,0
2025-09-05 19:42:00,6,1.72,5.52,5.91,6,5.5,0,0.51
2025-09-05 19:43:00,5.53,0,3.2,5.5,3.54,5.86,1.19,1.34
2025-09-05 19:44:00,3.04,0,0.13,4.76,3.64,6,5.22,0.4
2025-09-05 19:45:00,5.71,0,0.29,5.95,5.09,5.9,3.29,0.46
2025-09-05 19:46:00,5.98,0.3,0.15,6,5.91,5.9,2.84,0
2025-09-05 19:47:00,5.41,0,0.3,6,5.89,5.72,5.3,1.33
2025-09-05 19:48:00,5.66,0,0.33,6,6,4.39,3.04,4.3
2025-09-05 19:49:00,5.97,1.9,0.25,6,5.69,6,5.37,4.1
2025-09-05 19:50:00,5.98,3.64,0.01,6,4.36,5.51,5.74,2.79
2025-09-05 19:51:00,6,4.54,0.04,6,4.89,4.96,6,5.32
2025-09-05 19:52:00,4.21,4.14,0,6,0.43,5.83,6,3.31
2025-09-05 19:53:00,5.65,4.92,0.59,6,2.64,5.65,5.42,1.38
2025-09-05 19:54:00,5.57,4.49,2.03,3.67,0.8,5.79,5.92,0.64
2025-09-05 19:55:00,5.96,2.04,3.62,3.14,0,4.77,5.89,0.29
2025-09-05 19:56:00,6,4.3,3.16,4.87,0.18,2.18,6,0.2
2025-09-05 19:57:00,5.99,4.32,2.31,5.13,0.8,0.99,2.86,0.41
2025-09-05 19:58:00,5.06,4.13,1.45,5.94,1.01,0.72,1.59,0.97
2025-09-05 19:59:00,5.71,5.38,2.34,5.88,1.02,0,1.41,0.84
2025-09-05 20:00:00,6,5.07,5.22,5.59,1.32,0.68,0,0
2025-09-05 20:01:00,5.83,5.86,3.76,5.65,0.99,0.12,2.77,0.31
2025-09-05 20:02:00,6,5.9,5.52,5.65,0,0,2.99,2.53
2025-09-05 20:03:00,5.88,5.88,3.22,5.07,0,1.22,3.43,4.23
2025-09-05 20:04:00,5.79,5.95,4.04,3.48,0,0,5.7,5.42
2025-09-05 20:05:00,5.88,5.72,5.69,4.18,1.02,0.66,6,4.43
2025-09-05 20:06:00,5.57,5.84,5.37,4.81,3.98,4.35,5.8,5.43
2025-09-05 20:07:00,5,5.53,5.37,6,4.46,5.2,5.88,5.83
2025-09-05 20:08:00,3.28,4.09,5.57,6,6,5.74,4.93,6
2025-09-05 20:09:00,3.91,4.83,5.87,6,6,5.96,5.75,6
2025-09-05 20:10:00,1.67,4.62,5.74,5.71,6,5.98,5.35,6
2025-09-05 20:11:00,1.75,3.61,5.96,5.96,6,6,4.79,6
2025-09-05 20:12:00,2.16,5.63,4.81,6,6,5.97,5.95,6
2025-09-05 20:13:00,5.32,5.88,4.19,6,6,5.89,5.75,5.98
2025-09-05 20:14:00,3.97,5.96,5.72,5.94,6,5.88,5.69,5.89
2025-09-05 20:15:00,2.76,5.5,5.35,5.84,6,5.71,5.49,4.44
2025-09-05 20:16:00,1,3.17,4.96,4.27,6,5.47,6,4.4
2025-09-05 20:17:00,1.92,5.15,4.77,4.44,5.67,5.76,5.81,3.51
2025-09-05 20:18:00,2.63,5.98,5.05,6,5.87,5.49,5.91,4.31
2025-09-05 20:19:00,5.29,5.64,6,6,5.83,5.95,5.72,1.9
2025-09-05 20:20:00,5.78,5.97,5.4,6,5.68,5.75,5.95,3.12
2025-09-05 20:21:00,1.69,5.97,5.43,6,6,6,5.99,6
2025-09-05 20:22:00,4.39,5.61,5.08,6,6,6,6,6
2025-09-05 20:23:00,5.15,5.2,5.12,6,6,5.69,5.5,6
2025-09-05 20:24:00,5.09,5.79,1.63,5.98,6,5.95,4.86,6
2025-09-05 20:25:00,5.67,6,3.94,6,6,6,5.84,6
2025-09-05 20:26:00,5.9,4.56,6,5.4,6,4.99,6,6
2025-09-05 20:27:00,5.65,5.95,4.76,5.95,6,5.7,6,5.67
2025-09-05 20:28:00,5.17,5.94,5.5,4.01,6,5.99,6,4.09
2025-09-05 20:29:00,4.79,5.51,5.69,5.94,5.79,6,5.84,0.44
2025-09-05 20:30:00,3.29,5.62,5.9,6,5.76,5.97,6,0.29
2025-09-05 20:31:00,5.61,5.74,5.69,6,5.11,5.66,5.52,5.68
2025-09-05 20:32:00,5.77,5.75,5.68,6,6,5.88,5.61,4.53
2025-09-05 20:33:00,5.46,4.72,5.16,5.71,6,5.33,5.91,3.6
2025-09-05 20:34:00,5.95,5.42,5.53,6,5.94,5.92,5.31,3.74
2025-09-05 20:35:00,5.75,5.51,5.25,6,6,5.25,4.8,3.03
2025-09-05 20:36:00,5.52,5.72,4.94,6,6,5.84,5.95,3.95
2025-09-05 20:37:00,5.53,6,4.62,6,5.54,5.95,6,5.95
2025-09-05 20:38:00,5.35,6,5.48,6,5.53,6,6,5.63
2025-09-05 20:39:00,3.93,6,5.47,6,6,5.46,6,6
2025-09-05 20:40:00,4.1,6,5.35,6,6,4.93,6,5.96
2025-09-05 20:41:00,5.75,6,4.88,6,6,5.94,6,6
2025-09-05 20:42:00,4.62,5.79,5.12,6,6,5.97,4.76,5.73
2025-09-05 20:43:00,5.93,5.94,5.79,6,6,5.62,4.76,5.9
2025-09-05 20:44:00,4.88,5.25,5.49,5.47,5,5.47,6,6
2025-09-05 20:45:00,5.85,5.15,5.58,6,5.28,5.89,5.92,6
2025-09-05 20:46:00,5.02,3.93,5.11,5.91,6,6,6,5.96
2025-09-05 20:47:00,3.75,6,4.68,6,6,5.92,5.4,6
2025-09-05 20:48:00,3.94,5.65,4.84,6,6,5.9,6,6
2025-09-05 20:49:00,4.72,6,5.06,6,5.63,5.76,6,4.67
2025-09-05 20:50:00,4.97,6,5.91,6,4.57,6,5.78,5.13
2025-09-05 20:51:00,5.43,6,4.2,6,5.94,5.36,6,5.84
2025-09-05 20:52:00,5.73,5.81,5.21,6,5.79,5.2,5.74,6
2025-09-05 20:53:00,5.94,5.98,5.95,6,6,5.36,6,6
2025-09-05 20:54:00,5.85,5.97,5.95,6,6,5.71,6,6
2025-09-05 20:55:00,5.42,6,4.29,6,6,5.97,5.55,6
2025-09-05 20:56:00,3.29,5.34,4.76,6,6,5.51,1.37,5.73
2025-09-05 20:57:00,5.1,4.63,5.71,6,6,6,1.29,3.59
