Time Stamp:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
9/5/2025 10:00,10,0,0.11,0.11,0,22,0.11,1.11,0
9/5/2025 11:00,11,21.5,1.17,2.11,69.94,43.33,0,27.67,26.5
9/5/2025 12:00,12,55.39,42.78,48.94,5.89,76.06,40.39,53.72,61.94
9/5/2025 13:00,13,49.33,67.56,56,78.28,57.22,62.33,42.83,58.17
9/5/2025 14:00,14,40.78,38.72,66.06,72.44,47.5,64.61,72.33,74.5
9/5/2025 15:00,15,67.44,83.17,50,56.72,63,47.33,52.28,65.44
9/5/2025 16:00,16,40.94,55.17,60.11,39.06,56.94,37.22,3.39,53.67
9/5/2025 17:00,17,43.78,64.28,29.61,79.06,51.06,74.33,64.33,0.61
9/5/2025 18:00,18,46.89,66.83,60.78,20.39,47.67,71.61,57.72,63.33
9/5/2025 19:00,19,36,22.17,53.17,58,44.22,49.78,39.11,47.5
9/5/2025 20:00,20,9.67,1.94,10.22,12.39,17.28,17.06,24.22,11.11
9/5/2025 21:00,21,1.61,1,2.94,9.5,0.17,0.28,2.39,0.06
9/5/2025 22:00,22,29.94,0.78,25.17,62.83,2.33,0.44,38.67,0.33
9/5/2025 23:00,23,49.33,8.89,3.06,30.72,51.28,12.44,43.89,19.5
9/6/2025 0:00,24,30.11,59.67,19.72,57.06,1.22,63.56,21.22,52.56
9/6/2025 1:00,25,0.5,9.44,13.89,9.11,49.83,8,23,4.28
9/6/2025 2:00,26,26.72,1.11,13.56,60.33,39.89,25.22,8.22,2.28
9/6/2025 3:00,27,27.28,11.33,36.61,26.39,2.94,1.72,33.33,46.22
9/6/2025 4:00,28,37.67,36.67,5.44,69.89,0.44,1.17,0.94,40.78
9/6/2025 5:00,29,67.56,35.33,61.44,57.78,0.78,70.67,54.56,64.61
9/6/2025 6:00,30,49,69.56,59.89,14.56,60.5,58.72,10.44,34
9/6/2025 7:00,31,43.06,21.5,22.56,73.5,40.61,9.61,76.22,26.22
9/6/2025 8:00,32,32.89,17.78,73.5,37.5,50.56,50.06,33.44,5.33
9/6/2025 9:00,33,56.56,42.22,30.33,48.78,72.94,24.78,43.94,52.5
9/6/2025 10:00,34,50.06,52.67,66.06,64.94,20.89,56.28,62.89,79.56
9/6/2025 11:00,35,61.33,78.17,51.06,45.89,55.78,72.28,58.22,41.89
9/6/2025 12:00,36,18.11,27.72,67.44,45.44,70.28,61.33,55.5,76.5
9/6/2025 13:00,37,78.44,70.56,35.33,52.94,27.5,71.94,48.61,46.67
9/6/2025 14:00,38,50.94,8.22,81.11,48,69.67,22.33,59.39,74.39
9/6/2025 15:00,39,56.28,63.28,65.89,49.22,34.5,42.72,63.33,39
9/6/2025 16:00,40,28.89,82.17,41.44,20.39,25.56,26.72,61.06,24.56
9/6/2025 17:00,41,64.89,24.61,58.94,56.56,59.89,67.94,30.61,74.67
9/6/2025 18:00,42,50.67,65.22,36.33,62.61,47.39,46.28,72.44,31.89
9/6/2025 19:00,43,40.78,31.11,54.67,22.72,53.28,61.5,15.39,51.56
9/6/2025 20:00,44,0.72,17.61,11.11,17.83,1.33,0,19.72,10.39
9/6/2025 21:00,45,1.22,1.17,0.33,14.72,0.11,0.67,2,0.22
9/6/2025 22:00,46,1.33,2,0.11,11.33,3.33,1.06,1.11,0.39
9/6/2025 23:00,47,37.11,1.11,0.5,36.5,26,32.72,14.33,68.06
9/7/2025 0:00,48,32.94,61.56,0.22,60.33,50.67,43.22,58.72,15.39
9/7/2025 1:00,49,0.78,2.72,37.67,2,14.22,16.83,32,0.44
9/7/2025 2:00,50,1.39,1,23.94,2.28,19.94,2.33,2.44,36.06
9/7/2025 3:00,51,33.44,16,1.44,50.83,18.17,1.33,3.5,0.44
9/7/2025 4:00,52,29.56,26.22,15.28,41.61,23,1.22,1.83,19.72
9/7/2025 5:00,53,43.22,37.44,59.39,37.78,32.83,49.83,31.67,71.89
9/7/2025 6:00,54,24.39,23.17,30,80.67,24.94,77.56,1.22,45.28
9/7/2025 7:00,55,16.72,48.89,62.06,22.56,24.94,17.94,48.72,25.72
9/7/2025 8:00,56,45.89,0.72,34.28,23.78,51.56,51.22,40,46.33
9/7/2025 9:00,57,58.89,64.17,66.39,59.17,63.17,75.33,63.61,38.83
9/7/2025 10:00,58,79.72,48.44,65.33,77.94,68.17,50.22,56.67,0.44
9/7/2025 11:00,59,51.83,65.17,78.56,34.67,34.83,74.61,27.89,38.11
9/7/2025 12:00,60,83.89,57.5,63.39,81.06,67.06,31.33,75.44,82.5
9/7/2025 13:00,61,62.78,61.28,67.67,74.89,68.11,58.44,58.06,59.67
9/7/2025 14:00,62,61.78,62,80.72,64.78,53.5,60.44,88.67,65.28
9/7/2025 15:00,63,62.72,47.72,80.33,34.39,46,74.39,67.83,62
9/7/2025 16:00,64,71.33,61.28,47.22,76.72,61.22,70.11,77.78,63.67
9/7/2025 17:00,65,56.33,45.56,82.67,51.94,48.89,59.94,43.56,17.72
9/7/2025 18:00,66,59.17,68.06,63.61,53.11,65.89,55.78,68.11,42.33
9/7/2025 19:00,67,46.33,29.89,61.22,38.33,28.11,30.44,47.83,57.61
9/7/2025 20:00,68,10.72,7.72,13.61,1.61,11.44,18.72,4.72,7.22
9/7/2025 21:00,69,17.17,0.89,1.22,0.39,0.72,1,0.67,23.56
9/7/2025 22:00,70,24.17,46.22,0.83,16.44,7.22,1.78,1.44,0.78
9/7/2025 23:00,71,53.33,1.06,18.89,55.78,48.89,41.22,40.56,42.17
9/8/2025 0:00,72,23.5,1.78,10.67,30.39,51.33,22.61,70.83,14.22
9/8/2025 1:00,73,22.33,53.89,56.83,11.06,19.78,17.33,59.06,19.94
9/8/2025 2:00,74,32.89,19.61,2,49.78,37.17,67.56,47.94,21.17
9/8/2025 3:00,75,27.22,2.5,46.17,17.78,11.56,8.89,3.78,6.06
9/8/2025 4:00,76,17,24,15.83,27.83,41.06,18.67,3.44,1.39
9/8/2025 5:00,77,57.11,11.06,1.39,22.89,1.56,6.94,2.28,1.67
9/8/2025 6:00,78,69.61,70.11,60.89,59.89,21.44,50.67,31.11,23.5
9/8/2025 7:00,79,2.17,24,2.78,63.44,73.72,36,34.22,63.33
9/8/2025 8:00,80,48.06,17.78,59.17,9.78,26.67,39.33,31.83,17.56
9/8/2025 9:00,81,57.22,64,77.78,77.17,45.28,49.72,77.61,68.56
9/8/2025 10:00,82,58.61,32.72,44.61,38.44,73.17,58.17,38,59.44
9/8/2025 11:00,83,49.89,74.39,64.72,57.06,70.17,57.39,83.72,54.11
9/8/2025 12:00,84,46.67,61.67,70.44,48.78,35.67,50.78,50.94,43.28
9/8/2025 13:00,85,64.94,8.89,60.17,37.5,65.44,72.94,59.94,65.83
