Time Stamp:,Linear Time:,F1,F2,F3,F4,F5,F6,F7,F8
9/5/2025 19:00,19,24.89,44.56,43.94,15.22,50.39,40,34.83,45.22
9/5/2025 20:00,20,0.94,0.56,0.83,0.17,8.72,6.56,2.89,3.17
9/5/2025 21:00,21,5.22,1,0.78,0,1.06,0.11,0.11,2
9/5/2025 22:00,22,3.22,29.78,2.06,0.61,12.06,4.22,1.83,0.72
9/5/2025 23:00,23,54.28,63.83,1.56,2,63.61,38,50.11,43.5
9/6/2025 0:00,24,44.28,25.78,4.17,5.89,20.61,0.22,5.61,38.78
9/6/2025 1:00,25,1.11,5.72,17.22,74.44,0.94,24.61,1.83,0.17
9/6/2025 2:00,26,1.78,3.67,57.61,3.06,41.78,56.17,1.11,0.11
9/6/2025 3:00,27,27.83,25.28,2.5,1.89,42.67,57.17,63.5,0.94
9/6/2025 4:00,28,64.17,72.17,66.72,62.67,47.39,44.06,46.61,42.06
9/6/2025 5:00,29,55.83,59.06,50,17.67,11.78,55.72,70.33,71.61
9/6/2025 6:00,30,37.22,30.83,63.56,64.06,43,5.28,13.17,0.22
9/6/2025 7:00,31,49.72,59.83,55.61,15.89,79.44,55,52.28,52.72
9/6/2025 8:00,32,10.78,17.67,14.44,3.78,1.89,40.72,20.78,48
9/6/2025 9:00,33,67.83,27.89,67.56,75.39,62,46.33,36.83,59.33
9/6/2025 10:00,34,80.28,61.33,55.94,51.17,28.67,52.67,62.22,41.28
9/6/2025 11:00,35,24.61,34.5,73.39,76.33,71.67,36.28,43.89,77.56
9/6/2025 12:00,36,76.17,0.33,4.28,62.22,49.5,29.83,50.72,40.78
9/6/2025 13:00,37,43.39,57,52.17,8.94,34.44,60.22,55.39,61.61
9/6/2025 14:00,38,53.56,49.56,83.78,81.06,69.67,53.83,35.33,75
9/6/2025 15:00,39,54.06,67.94,69.94,65.72,24.56,47.5,49.11,55.78
9/6/2025 16:00,40,53.33,37.72,8.61,86,63.61,21.89,13.39,34.67
9/6/2025 17:00,41,62.94,39.11,41.61,29,9.33,37.72,67.72,65.22
9/6/2025 18:00,42,36.44,53.11,62.72,50.78,57.22,64.06,35.56,48.39
9/6/2025 19:00,43,36.67,36.56,34.17,22,41.44,29.61,41.33,39.61
9/6/2025 20:00,44,0.5,1.28,13,0,0,2.44,15.67,0.22
9/6/2025 21:00,45,2.61,1.11,3.83,0.06,0.11,0.33,0.17,1
9/6/2025 22:00,46,2.44,3.11,0.94,0.5,0.22,0.78,0.06,0
9/6/2025 23:00,47,1.61,1.83,3.94,1.17,0.67,27.61,0.5,0.44
9/7/2025 0:00,48,9.56,41.33,2.83,1.94,16.56,39.72,10.72,37.22
