,Start Time:,9/5/2025 10:00, End Time:,9/8/2025 14:00, Normalization:,None,,,
Time Stamps:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
9/5/2025 10:00,10,3596,1795,1795,3596,77.33,1793,588.67,3596
9/5/2025 11:00,11,157.18,589.33,248.14,20.1,45,3596,83.59,109.64
9/5/2025 12:00,12,30.43,63.47,43.77,171.89,9.41,75.23,48.62,26.36
9/5/2025 13:00,13,35,27.25,42.47,13.08,30,27.37,60.93,31.62
9/5/2025 14:00,14,71.41,89.91,26.97,29.62,42.39,29.19,24.87,14.82
9/5/2025 15:00,15,23.03,9.06,33.95,36.47,21.26,55.13,22.28,20.21
9/5/2025 16:00,16,45.35,35.37,34,57.47,28.75,108.32,260,35.79
9/5/2025 17:00,17,42.55,26.22,82.79,13.35,30.42,21.33,36.96,317.82
9/5/2025 18:00,18,31.28,20.08,24.59,85.19,45.6,17.03,26.33,20.53
9/5/2025 19:00,19,52.49,126.48,22.98,38.81,38.79,36.1,57.21,35.65
9/5/2025 20:00,20,242.46,216.13,173.89,132.52,87.86,222.62,127.9,105.38
9/5/2025 21:00,21,264.31,590,286.33,158.3,1195.33,1193.33,314.55,1795
9/5/2025 22:00,22,108.86,435.75,47.7,34.13,214.38,1191.33,58.61,712.8
9/5/2025 23:00,23,30.77,247.85,165.4,108,34.14,160,56.19,410.29
9/6/2025 0:00,24,108.19,24.98,138.7,69.37,229.6,19,94.93,32.23
9/6/2025 1:00,25,391.56,115.85,121.25,138.87,43.64,134.7,125.62,253.08
9/6/2025 2:00,26,120.86,389.78,136.45,29.9,33.39,64.51,215.2,384
9/6/2025 3:00,27,64.46,191.38,65.63,94.85,285.33,187.33,70.67,38.48
9/6/2025 4:00,28,72.48,39.38,480.57,30.07,317.64,248.14,442,34.13
9/6/2025 5:00,29,17.48,50,22.56,28.68,319.45,17.76,34.78,12.61
9/6/2025 6:00,30,37.57,11.26,20,120,33.89,31.05,131.22,50.1
9/6/2025 7:00,31,42.82,64.63,169.38,14.71,48.69,126.58,20.79,104.33
9/6/2025 8:00,32,47.91,158.67,16.05,49.79,34.05,37.78,72.73,239.14
9/6/2025 9:00,33,34.89,52.57,132.56,40.65,10.94,88.34,68.74,47.47
9/6/2025 10:00,34,35.02,36.32,20.49,24.33,91.93,37.17,27.4,10.72
9/6/2025 11:00,35,25.41,11.5,59.54,82.82,34,24.53,34.83,97.7
9/6/2025 12:00,36,135.9,80.93,22.33,49.62,11.46,37.13,44.73,13.51
9/6/2025 13:00,37,12.94,27.47,59.14,36.39,90.37,17.74,67.25,38.65
9/6/2025 14:00,38,30.09,228.43,8,62.64,16.62,106.08,30.25,15.16
9/6/2025 15:00,39,40.9,31.76,28.38,47.44,48.45,83.3,27.17,71.63
9/6/2025 16:00,40,73.31,12,108.78,126.55,82.73,88,25.51,138.53
9/6/2025 17:00,41,25.9,120.95,38.33,30.34,21.45,27.28,88.08,12.78
9/6/2025 18:00,42,30.62,31.27,62.3,26.51,38.58,37.96,15.77,88.77
