Time Stamp:,Linear Time:,F1,F2,F3,F4,F5,F6,F7,F8
9/5/2025 19:00,19,72.5,46.11,47.67,83,44.5,51.33,59.33,47.89
9/5/2025 20:00,20,97.28,99.17,99,99.72,90.11,91.44,96.33,93.56
9/5/2025 21:00,21,92.17,98.44,98.44,99.72,97.5,99.78,99.33,96.22
9/5/2025 22:00,22,95.5,64.11,96.5,98.83,86.06,94.83,96.22,98.22
9/5/2025 23:00,23,40.61,26.22,96.94,95.78,25.28,55.56,42.17,53.17
9/6/2025 0:00,24,44.61,69,93.72,90.72,78.78,99,92.67,57.06
9/6/2025 1:00,25,97.94,89.39,80.89,20.67,98.17,72.5,96.22,99.39
9/6/2025 2:00,26,97.5,94.06,30.44,95.94,55.67,36.44,96.22,99.72
9/6/2025 3:00,27,67.28,70.33,91.83,96.56,49.94,35.78,28.61,98.61
9/6/2025 4:00,28,22.89,18.11,27.78,33.89,48.67,48.39,46.28,54.44
9/6/2025 5:00,29,34.28,32.44,41.44,80,85.44,36.89,21.5,21.94
9/6/2025 6:00,30,55.39,63.89,23.72,30.78,52.17,92.83,82.5,99.78
9/6/2025 7:00,31,45.78,31.33,32.22,82.78,14.22,36.67,44.39,41.22
9/6/2025 8:00,32,84.67,78.5,77.22,94.83,95.33,52.83,76.94,43.83
9/6/2025 9:00,33,23.94,68.28,25.11,17.83,31.56,46,57.94,33.39
9/6/2025 10:00,34,9.94,28,35.17,44.56,67.39,41,31.61,53.22
9/6/2025 11:00,35,65.89,61.56,11.72,21.22,22.06,60.67,51.28,16.06
9/6/2025 12:00,36,13.94,99.67,90.17,36.22,44.22,68.17,44.22,54
9/6/2025 13:00,37,48.61,35.39,38.28,87.28,63.39,29.89,40.67,31.78
9/6/2025 14:00,38,39.06,41.39,7.83,15.06,19,38.83,59.94,19
9/6/2025 15:00,39,40.72,20.06,21.89,24.83,73.83,47.5,41.89,37.28
9/6/2025 16:00,40,41.17,54,86.56,12.22,23.33,72.5,78.94,61.06
9/6/2025 17:00,41,29.72,54.56,51.39,67.67,89.72,55.17,22.67,29
9/6/2025 18:00,42,54.11,39.06,27.78,45.89,34.56,26.44,56.22,41.61
9/6/2025 19:00,43,52.44,54.56,54.33,73.44,52.56,61.5,52.72,53.06
9/6/2025 20:00,44,98.72,98.17,84.94,100,100,95.61,82.22,99.78
9/6/2025 21:00,45,94.78,97.61,95.17,99.44,99.78,99.22,99.5,98.67
9/6/2025 22:00,46,95.17,93.83,97.94,99.11,99.06,97.72,99.33,100
9/6/2025 23:00,47,96.28,96.61,95.06,98.11,97.89,69.44,98.78,99.11
9/7/2025 0:00,48,84.83,54.11,96.06,97.28,81.83,55.61,87.22,58.61
9/7/2025 1:00,49,25.67,26.33,94,62.22,33,97.61,59.28,35.06
9/7/2025 2:00,50,83.94,97.17,93.61,56.67,94.67,59.17,97.56,98.61
9/7/2025 3:00,51,86.56,97,24.78,81.89,97,33.33,72.89,98.28
9/7/2025 4:00,52,28.94,58.28,42.83,17.33,21.33,62.72,23.61,30.72
9/7/2025 5:00,53,29.06,29.44,95.39,64.89,34.61,20.56,75.94,31.94
9/7/2025 6:00,54,40.78,76.39,60.89,47.39,68.56,47.94,14.28,75.67
9/7/2025 7:00,55,47.33,69.56,46.06,35.89,82.72,98.5,78.06,43.22
9/7/2025 8:00,56,66.67,92.56,83.78,88.56,22.94,35.67,22.56,58.56
9/7/2025 9:00,57,35.72,33.5,20.61,43.89,24.28,48,61.06,40.39
9/7/2025 10:00,58,27.33,33.78,30.67,32.67,10.44,61,7.83,43.5
9/7/2025 11:00,59,25.06,20.44,57.28,11.89,55.11,48.5,42.83,15.5
9/7/2025 12:00,60,76.89,47.5,18.83,15,3.33,10.78,10.56,29.83
9/7/2025 13:00,61,37.67,5.83,66.06,38.44,19.78,19.5,31.78,45.39
9/7/2025 14:00,62,38.83,4.33,53.83,7.78,5.17,46.61,18.72,24.61
9/7/2025 15:00,63,41.89,10.56,9.72,8.78,12.22,57.5,25.94,34.67
9/7/2025 16:00,64,34.11,3.44,36.06,37.83,27.44,19,12.56,26.17
9/7/2025 17:00,65,47.06,47.67,33.06,34.06,14.06,47.06,30.78,40.39
9/7/2025 18:00,66,32.44,15.28,42.11,36.67,34.17,26.94,32.78,57.61
9/7/2025 19:00,67,59.44,42.22,50.5,53.17,35.5,49.28,51.5,54.61
9/7/2025 20:00,68,87.89,89.17,99.72,99.11,90.5,99.56,98.83,100
9/7/2025 21:00,69,65.33,96.83,97.06,99.83,81.89,88.61,99.44,100
9/7/2025 22:00,70,70.56,89.94,97.06,91.11,51.5,73.72,98.22,100
9/7/2025 23:00,71,66.67,29.83,96.94,99.67,93.44,75.44,89.89,91.89
9/8/2025 0:00,72,65.72,41.67,38.5,95.44,34.67,97.89,40.11,47.06
9/8/2025 1:00,73,65.89,93.61,84.39,38.94,74.44,95.33,68.28,37.22
9/8/2025 2:00,74,95.89,93.5,97.28,65.22,95.22,17.44,92.17,51.72
9/8/2025 3:00,75,58,88.67,96.78,98.06,96.61,54.22,87.17,100
9/8/2025 4:00,76,47.94,52,61.39,99.33,91.33,65.78,34,97.94
9/8/2025 5:00,77,39.94,12.44,35.83,67.5,36.78,47.5,43.78,27.89
9/8/2025 6:00,78,90.33,72.89,96.44,19.61,12.06,32.06,27.28,75.33
9/8/2025 7:00,79,51.72,29.11,31.11,94.22,86.94,91,74.17,90.83
9/8/2025 8:00,80,24.28,83.17,73,85.89,58.39,54.89,32.5,82.11
9/8/2025 9:00,81,59.67,51.33,28.22,30.11,15.06,31.06,48.5,31.06
9/8/2025 10:00,82,75.89,15.11,66.72,36.89,65,44.39,38,45
9/8/2025 11:00,83,27.17,7.22,21.67,90.44,9.78,45.33,38.06,34.89
9/8/2025 12:00,84,51.28,53.33,22.06,28.44,48.33,18.78,34.44,29.72
9/8/2025 13:00,85,40.78,9.61,58.17,54.89,9.61,17,23.22,37.89
