,Start Time:,2025-09-05 10:00:00, End Time:,2025-09-08 14:00:00, Normalization:,State Time,,,
Time Stamps:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
2025-09-05 10:00:00,10,NaN,2,2,NaN,15.86,NaN,8,NaN
2025-09-05 11:00:00,11,32.45,8,4.8,41.96,27.69,NaN,24.65,29.33
2025-09-05 12:00:00,12,33.18,44.42,35.87,6.96,30.7,44.58,43.81,38.93
2025-09-05 13:00:00,13,35.96,49.4,33.19,41.78,40.71,43.51,39.08,38.08
2025-09-05 14:00:00,14,51.85,49.33,36.72,52.25,41.59,58.84,66.16,52.49
2025-09-05 15:00:00,15,52.82,49.48,32.38,39.43,27.53,50.75,23.59,38.41
2025-09-05 16:00:00,16,35.23,44.76,43.83,33.38,32.44,47.26,34,37.27
2025-09-05 17:00:00,17,32.8,44,31,54.56,23.28,54.81,60.32,2.5
2025-09-05 18:00:00,18,25.34,36.74,27.49,20.69,22.68,49.24,31.39,33.87
2025-09-05 19:00:00,19,24.12,35.52,27.47,38.67,22.47,41.02,32.95,30.5
2025-09-05 20:00:00,20,26.5,5.75,18.94,23.65,13.68,44.46,34,15.45
2025-09-05 21:00:00,21,5.14,4,9.56,18,2,6,10.33,NaN
2025-09-05 22:00:00,22,31.44,6.67,10.91,38.32,7.14,3.33,23.63,2
2025-09-05 23:00:00,23,27.73,24.5,4.67,29.31,34,46.22,35.29,85.25
2025-09-06 00:00:00,24,40.64,44.35,29.91,46.62,4,39.42,23.66,29.76
2025-09-06 01:00:00,25,5,13.71,14.76,13.14,31.32,11.43,26.93,11.27
2025-09-06 02:00:00,26,53.88,8.67,23.26,44.91,21.9,25.03,22.33,9.33
2025-09-06 03:00:00,27,23.58,28.92,38.75,32.59,8.44,4,23.83,29.73
2025-09-06 04:00:00,28,53.83,21.29,30,56,2,4.4,3,20.47
2025-09-06 05:00:00,29,39.69,33.89,37.82,30.57,3.2,55.36,47.95,26.75
2025-09-06 06:00:00,30,42.82,34.5,35.4,21.09,53.49,44.71,19.76,25.23
2025-09-06 07:00:00,31,33.58,21.03,45.76,36.71,33.9,19.25,58.62,35.36
2025-09-06 08:00:00,32,26.54,60.8,48.69,32.1,40,47.56,37.67,18.89
2025-09-06 09:00:00,33,51.26,46.52,49.81,36.62,36.26,37.91,60.88,42.67
2025-09-06 10:00:00,34,44.79,47.37,44.31,36,23.72,49.49,50.51,54.96
2025-09-06 11:00:00,35,48.93,47.12,51.82,53.07,45.29,58.42,57.83,46.58
2025-09-06 12:00:00,36,25.74,42.55,42.85,39.79,42.82,53,45.38,44.41
2025-09-06 13:00:00,37,59.04,64.68,30.41,39.3,49.68,52.77,55.8,37.67
2025-09-06 14:00:00,38,38.95,20.31,43.31,48.65,41.68,25.59,52.26,57.24
2025-09-06 15:00:00,39,58.97,47.35,58.77,47.11,24.21,82.89,54.6,51.54
2025-09-06 16:00:00,40,32.33,59.5,50.86,38.11,35.58,61.33,47.45,41.9
2025-09-06 17:00:00,41,46.38,36.17,40.2,34.76,32.26,69.59,39.92,41.8
2025-09-06 18:00:00,42,30.04,45.71,30.4,43.92,36.55,45.31,47.88,34.58
2025-09-06 19:00:00,43,27.88,28.72,40.52,25.72,34.42,31.85,16.48,41.86
2025-09-06 20:00:00,44,2.8,33.11,19.89,22.38,8.5,NaN,44.93,14.09
2025-09-06 21:00:00,45,4.67,5,3,15.27,NaN,6,6.75,6
2025-09-06 22:00:00,46,3.5,5.5,2,12.77,5.13,6,2.86,2
2025-09-06 23:00:00,47,26.7,11.33,7,36.47,20.05,51.36,48.4,42.93
2025-09-07 00:00:00,48,23.96,49.21,NaN,32.16,31.07,22.41,35.89,16.07
2025-09-07 01:00:00,49,2.8,4.14,33.26,4,13.94,29.26,25.71,2
2025-09-07 02:00:00,50,5.33,3.33,18.49,5.56,25.15,3.86,7.11,35.88
2025-09-07 03:00:00,51,33.76,25.05,4.29,41.19,14.41,3.11,6.31,5
2025-09-07 04:00:00,52,34,28,18,34.05,18.87,4.67,4.44,52
2025-09-07 05:00:00,53,30.04,28.93,53.89,27.91,32.79,41.17,24.67,35.91
2025-09-07 06:00:00,54,30.07,25.53,29.12,36,18.51,52.35,4,43
2025-09-07 07:00:00,55,31.33,47.71,52.1,23.13,36.26,29.5,44,55.63
2025-09-07 08:00:00,56,27.75,11,50.96,27.38,36.98,39.77,34.67,48.24
2025-09-07 09:00:00,57,43.52,62.06,56.05,56.67,31.61,71.3,35.25,33.59
2025-09-07 10:00:00,58,52.73,67.12,45.59,67.9,38.63,37.13,42.93,6
2025-09-07 11:00:00,59,35.88,56.4,41.23,39.2,49.92,47.7,60.13,48.44
2025-09-07 12:00:00,60,60.63,55.28,39.2,57.47,50.35,39.56,52.2,62.3
2025-09-07 13:00:00,61,52.49,42.82,39.76,50.67,31.89,61.27,51.23,35.4
2025-09-07 14:00:00,62,34.67,46.22,45.25,40.85,35.37,70.4,79.74,39.54
2025-09-07 15:00:00,63,48.68,29.89,52.3,33.2,29.54,74.06,43.74,50.95
2025-09-07 16:00:00,64,47.96,66.56,32.16,50.73,32.57,62.56,43.7,53.51
2025-09-07 17:00:00,65,33.4,27.67,53.92,75.58,29.64,49.19,33.59,55.09
2025-09-07 18:00:00,66,34.38,45.8,31.82,40.18,38.55,49.38,37.32,34.83
2025-09-07 19:00:00,67,37.29,23.19,35.55,34.97,23.85,28.06,21.92,37.65
2025-09-07 20:00:00,68,46.25,11.4,46.4,48,20.82,25.58,18,14.53
2025-09-07 21:00:00,69,42,3.5,8,2,3.5,4,5,26.83
2025-09-07 22:00:00,70,33.58,36.42,2.4,39.57,39.33,6.29,4.25,6
2025-09-07 23:00:00,71,33.3,4.4,37.65,38.12,35.19,28.12,26.27,30.48
2025-09-08 00:00:00,72,44.56,5.43,16.6,18.46,33.35,31.25,45,7.37
2025-09-08 01:00:00,73,20.63,46,33.61,32.91,24,42.14,35.61,24.37
2025-09-08 02:00:00,74,26.54,15.38,6.25,30.81,38.24,35.29,31.8,16.97
2025-09-08 03:00:00,75,31.17,4,35.45,22.08,15.3,29.4,5.25,5.85
2025-09-08 04:00:00,76,37.87,33.33,23.55,69,29.83,42.67,5.47,5.67
2025-09-08 05:00:00,77,32.03,17.79,5.67,19.46,2.8,10.2,7.75,8
