	dmso-wt	drug-wt
0	151.63222289747068	105.56421187511299
1	149.54691772711047	134.1220041610849
2	148.87453115663806	109.92614621713938
3	154.27989635055272	164.7933528041622
4	158.73786579917774	171.73382262394824
5	157.51753784683433	153.28515789875865
6	184.33673668539282	125.79057781505135
7	195.6800910629391	143.26627945270332
8	218.61109370614528	160.396302452495
9	170.31250517457397	131.69780232028762
10	215.1941692575803	213.6680713691974
11	271.7290359632606	181.37861369763363
12	240.40614086799422	251.48137870773508
13	243.26893096901884	171.60750466917915
14	219.2278596299333	204.33901097737453
15	208.262669756388	228.36253999587322
16	224.84181754925962	229.27463605812812
17	233.86521155650803	191.43610850650606
18	336.1194507673494	217.17614485277824
19	212.5284636118713	206.78360239070093
