	dmso-wt	drug-wt
0	169.28571428571428	84.28571428571429
1	107.07142857142857	140.64285714285714
2	86.30952380952381	172.5952380952381
3	108.0	250.66666666666666
4	47.904761904761905	160.0
5	38.61904761904762	52.476190476190474
6	46.54761904761905	41.23809523809524
7	121.73809523809524	20.523809523809526
8	142.38095238095238	113.66666666666667
9	488.8809523809524	155.8095238095238
10	102.73809523809524	191.9047619047619
11	53.45238095238095	338.1904761904762
12	159.83333333333334	198.14285714285714
13	77.35714285714286	124.07142857142857
14	83.11904761904762	42.54761904761905
15	106.61904761904762	
16	36.976190476190474	
17	144.38095238095238	
18	162.88095238095238	
19	145.07142857142858	
20	308.6666666666667	
21	118.5	
22	98.66666666666667	
23	105.52380952380952	
24	29.547619047619047	
25	114.88095238095238	
26	337.85714285714283	
27	292.8095238095238	
