d42,replicate1,replicate2,replicate3,replicate4
1.00E-04,8000,17320,12760,13120
1.00E-05,703360,773640,519840,579640
1.00E-06,687400,639840,603880,559400
1.00E-07,526240,494120,469840,665160
1.00E-08,732240,408360,381480,534000
1.00E-09,472920,532600,536200,435320
