d36,replicate1,replicate2,replicate3,replicate4
1.00E-04,32240,36240,31000,26640
1.00E-05,1080520,696520,758440,678400
1.00E-06,581800,561360,405480,471800
1.00E-07,638720,673520,482760,407680
1.00E-08,644320,381560,517600,493960
1.00E-09,795400,506640,548400,590120
