d34,replicate1,replicate2,replicate3,replicate4
1.00E-04,433240,435640,415640,300200
1.00E-05,1357200,678440,716560,860800
1.00E-06,789440,660400,589000,571520
1.00E-07,742280,730400,530080,567160
1.00E-08,622040,446440,557000,615440
1.00E-09,723480,723840,756560,621360
