d40,replicate1,replicate2,replicate3,replicate4
1.00E-04,215080,156000,102440,97320
1.00E-05,994720,933080,491200,423680
1.00E-06,623560,504640,452120,399400
1.00E-07,624120,416160,411760,501800
1.00E-08,479480,325640,486520,372280
1.00E-09,871040,434640,581960,544520
