d27,replicate1,replicate2,replicate3,replicate4
1.00E-04,20640,32240,18560,13080
1.00E-05,274480,248360,186560,291680
1.00E-06,484800,614800,526560,656280
1.00E-07,453920,799080,830320,564200
1.00E-08,447640,710920,371480,481440
1.00E-09,414640,603000,548760,518400
