	dmso-het	dmso-mut
0	90784.33071533189	12652.635876196717
1	16070.758272660627	273467.6835703587
2	122589.75669522052	185384.91917509827
3	34743.441642379315	190005.75125186399
4	12601.890629488109	61476.11819586968
5	20467.313755486713	25643.817743987296
6	17650.667148759927	15854.577117581175
7	50008.318538201274	168516.89385407747
8	12054.156252108081	18662.79437720811
9	23861.657151879263	10134.086717306523
10	9775.934112867624	6070.841578767102
11	30327.09067914785	
12	6936.928748433139	
13	5344.2387690242085	
14	11279.117233431007	
15	11302.675515410154	
16	16920.131052138688	
17	86778.87559495507	
18	10083.353498545694	
19	45557.7515496223	
20	18525.55503321047	
21	223418.01336376133	
22	14780.877067250605	
23	12172.483252212649	
24	22255.2297223423	
25	15392.401393589877	
