	dmso-het	dmso-mut
0	167.55254089576636	220.4010590127482
1	161.67935858898517	211.12347103144606
2	157.10349797255262	181.3130732277359
3	163.0681333233963	199.93875591924066
4	179.9898139998671	206.54768381423858
5	167.7678463478686	190.16845026561913
6	183.8786713354849	183.22553027909726
7	201.15328851122945	208.16569341723238
8	213.860770070452	201.95060554342325
9	208.27036911570303	177.20164363217603
10	175.27288836110097	176.66896043156274
11	166.797410561216	
12	231.71098805682132	
13	172.85483032969995	
14	196.01248506702274	
15	182.18115659901056	
16	201.99944016635638	
17	203.7608344012349	
18	199.85536190387586	
19	185.77562913001105	
20	199.35459215549233	
21	223.88915326680979	
22	360.62041025816774	
23	185.864007667977	
24	204.12541128862236	
25	234.55408767882864	
