	dmso	drug
0	12.733333333333333	21.8
1	7.183333333333334	6.8
2	10.716666666666667	2.2666666666666666
3	23.283333333333335	3.2
4	26.066666666666666	7.5
5	51.15	8.266666666666667
6	16.95	9.583333333333334
7	16.816666666666666	14.583333333333334
8	8.15	9.366666666666667
9	53.36666666666667	9.716666666666667
10	21.433333333333334	21.033333333333335
11	19.016666666666666	18.633333333333333
12	10.516666666666667	25.25
13	27.3	12.333333333333334
14	25.666666666666668	10.9
15	18.566666666666666	19.666666666666668
16	21.616666666666667	35.46666666666667
17		12.933333333333334
18		13.366666666666667
